report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,llm_confidence,llm_reason,source_candidate_count,elapsed_seconds,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,raw_response,review_label,review_notes,manual_label,manual_notes
301019_宁波色母_2025_可持续发展报告,e_climate_risk,气候风险管理,E,boolean,found,true,,公司开展气候相关风险与机遇的识别与评估，明确风险潜在影响，并制定针对性应对措施。,积极开展气候相关风险与机遇的识别与评估，明确不同类型风险的潜在影响，并制定针对性应对措施,18,301019_宁波色母_2025_可持续发展报告:p18:b4,paragraph,0.0000,证据明确披露了气候风险识别、评估及应对措施。,5,3.387,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
688728_格科微_2025_ESG报告,e_hazardous_waste,危险废弃物产生量,E,quantitative,found,4626.79,t,"格科半导体危险废弃物产生量4,575.04吨，格科微浙江危险废弃物产生量51.75吨，合计4,626.79吨。",格科半导体产生量（t,26,688728_格科微_2025_ESG报告:p26:b10,table,0.0000,证据明确列出两处危险废弃物产生量数值及单位，可加总得出总量。,5,3.723,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
920122_中纺标_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,公司坚持诚信经营，落实反舞弊与举报管理，设立专项举报渠道并严格保密，严禁打击报复。,承诺绝不容忍任何针对举报人的打击报复行为,22,920122_中纺标_2025_ESG报告:p22:b9,paragraph,0.0000,证据明确披露了反舞弊、举报机制及保密措施，证实商业道德机制存在。,5,3.238,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
600884_杉杉股份_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,36.36,%,董事会成员共计11人，独立董事共4人，占比超过三分之一。,独立董事共4人，占比超过三分之一,13,600884_杉杉股份_2025_ESG报告:p13:b1,paragraph,0.0000,证据明确给出董事总数11人及独董4人，可计算占比。,5,2.970,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
000923_河钢资源_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,found,true,,以国内外劳工准则为指导，坚持平等雇佣，制定就业公平政策，反对强迫劳动及童工，保障员工权益。,河钢资源始终以国内外劳工准则为指导，坚持平等雇佣,36,000923_河钢资源_2025_ESG报告:p36:b2,paragraph,0.0000,证据明确提及以劳工准则为指导及具体保障措施。,4,2.921,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
600021_上海电力_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,found,true,,公司坚决抵制就业歧视及强迫劳动，倡导开放包容、多元融合的人才文化，充分考虑性别、民族、专业及国别背景开展人才引进。,倡导开放包容、多元融合的人才文化，充分考虑性别、民族、专业及国别背景开展人才引进,32,600021_上海电力_2025_ESG报告:p32:b23,list,0.0000,证据明确披露抵制歧视和强迫劳动，符合人权与劳工准则要求。,4,3.441,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
688400_凌云光_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,found,true,,禁止强迫劳动与职场歧视，杜绝童工聘用，保障青年群体合法权益，促进就业公平与多元化包容。,禁止强迫劳动与职场歧视,30,688400_凌云光_2025_ESG报告:p30:b13,paragraph,0.0000,证据明确披露禁止强迫劳动、歧视及童工，符合人权与劳工准则。,2,2.915,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
600884_杉杉股份_2025_ESG报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,found,,,公司持续优化董事会专业化、多元化结构，成员涵盖企业管理、财务审计等多元领域，女性董事2人，体现性别多元化治理理念。,公司高度重视董事会构成的科学性与代表性，持续优化董事会的专业化、多元化结构,13,600884_杉杉股份_2025_ESG报告:p13:b1,paragraph,0.0000,证据明确披露了董事会在专业背景和性别方面的多元化构成情况。,5,3.703,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
601118_海南橡胶_2025_ESG报告,e_ammonia_nitrogen,氨氮排放量,E,quantitative,found,1.42,吨,,"污染物排放 | 废水排放量 | 吨 | 217,704.95 | 274,604.67",48,601118_海南橡胶_2025_ESG报告:p48:b3,table,1.0000,表格明确列出2025年氨氮排放量为1.42吨。,2,3.236,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,,,,
300949_奥雅股份_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,found,0,起,,2025年度工伤 0,25,300949_奥雅股份_2025_ESG报告:p25:b14,paragraph,1.0000,证据明确给出2025年度工伤事故数量为0。,1,2.263,true,false,zero_event_normalization,normalized zero-event count from evidence_quote,,,,,
