review_id,report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,source_candidate_count,llm_confidence,llm_reason,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,risk_tag,risk_level,caution_tag,review_reason,needs_manual_check,suspected_issue_type
RS-0001,600278_东方创业_2025_ESG报告,e_waste_recycling,废弃物回收利用量,E,quantitative,found,100%,%,,包装废弃物回收率达 100%。,28,600278_东方创业_2025_ESG报告:p28:b18,paragraph,2,0.0000,明确数值,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0002,688051_佳华科技_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,found,0,起,,全年无应急事故、工伤事故，无重伤和死亡事故,36,688051_佳华科技_2025_ESG报告:p36:b6,paragraph,3,0.0000,明确提及无工伤事故,true,false,zero_event_normalization,normalized zero-event count from evidence_quote,possible_zero_event,low,high_risk_indicator,zero-event normalization needs source evidence review,true,possible_zero_event
RS-0003,600278_东方创业_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,7:2,,,董事会成员男女比例为 7 : 2,11,600278_东方创业_2025_ESG报告:p11:b14,paragraph,3,0.0000,明确提及比例,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,value_unit_missing,high,high_risk_indicator,quantitative found result lacks value or unit,true,value_unit_missing
RS-0004,002663_普邦股份_2025_ESG报告,e_environmental_penalty,环境处罚,E,boolean,missing,,,,,,,,0,0.0000,,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0005,600480_凌云股份_2025_ESG报告,s_safety,安全生产,S,qualitative,found,"8,209",万元,公司未发生重大生产安全事故，构建全方位健康保障体系,报告期内，公司未发生重大生产安全事故，无新增职业病,27,600480_凌云股份_2025_ESG报告:p27:b9,paragraph,5,0.9500,明确提及安全生产相关数据,false,false,none,,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0006,688439_振华风光_2025_ESG报告,e_air_pollutants,大气污染物排放,E,quantitative,missing,,,,,,,,1,0.0000,quantitative value was non-numeric; conservative missing,true,false,non_numeric_quantitative_to_missing,定量指标 value 不含数字，说明证据只是指标词或描述性文本，按 missing 处理。,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0007,600846_同济科技_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,9,名,,公司董事会成员共9名，其中外部董事7名，独立董事3名，公司董事会成员结构合理经验丰富，具备多元的专业背景，涵盖企业管理、财税、法律等专业，符合法律法规和上市公司监管要求。,15,600846_同济科技_2025_ESG报告:p15:b25,paragraph,1,0.0000,明确提及董事会成员总数,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,normal,,high_risk_indicator,indicator belongs to high-risk review category,true,high_risk_indicator
RS-0008,603051_鹿山新材_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,found,1,次,,2025年，公司共召开股东大会1次，提交股东大会审议议案共计17项；董事会8次，提交董事会审议议案共计59项；监事会4次，提交监事会审议议案共计17项。,10,603051_鹿山新材_2025_ESG报告:p10:b22,paragraph,4,0.0000,明确提及股东大会次数,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,normal,,,stratified normal sample,false,normal_sample
RS-0009,603990_麦迪科技_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,0,件,,客户投诉数量0,34,603990_麦迪科技_2025_ESG报告:p34:b15,paragraph,5,0.0000,明确数值0,true,false,final_unit_normalization,根据指标元数据和证据语义补充单位 件。,evidence_too_short,medium,high_risk_indicator,evidence_quote is too short for reliable verification,true,evidence_too_short
RS-0010,600874_创业环保_2025_可持续发展报告,g_board_size,董事会人数,G,quantitative,found,9,名,,董事会由9 名董事组成，其中女性董事占比 22.22%,13,600874_创业环保_2025_可持续发展报告:p13:b1,list,3,0.0000,明确提及董事会人数,true,false,regex_unit_from_evidence,filled missing quantitative field from evidence_quote,possible_rate_as_count,high,high_risk_indicator,count-like indicator contains percent/rate expression,true,possible_rate_as_count
