report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,evidence_quote,page_no,block_id,block_type,error_category,root_cause,fix_strategy,raw_response
000016_深康佳Ａ_2025_ESG报告,s_training,员工培训,S,quantitative,error,"8,547",人,"员工培训人数 | 人 | 8,840 | 8,593 | 8,547 员工培训总时长 | 小时 | 37,800 | 15,638 | 87,170 员工培训覆盖率 | % | 62.67 | 64.33 | 70.91",44,000016_深康佳Ａ_2025_ESG报告:p44:b1,table,llm_error,证据表格明确列示2025年员工培训人数及单位。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000403_派林生物_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,error,,,公司依据《职工福利管理制度》等内部规章，建立了兼顾公平性与竞争力的薪酬福利体系。在依法足额缴纳“五险一金”的基础上，为符合条件的员工建立企业年金计划，并提供节日、子女教育等多项津贴补贴。,33,000403_派林生物_2025_ESG报告:p33:b3,paragraph,llm_error,证据详细描述了薪酬福利体系、五险一金、年金及津贴等内容，符合定性指标要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000403_派林生物_2025_ESG报告,s_supplier,供应商管理,S,boolean,error,true,,公司建立了覆盖供应商全生命周期的管理制度体系，制定了《采购及招标管理办法》《物料供应商管理规程》《供应商审计管理规程》等一系列规章制度，确保供应商管理有章可循、责任到人。,20,000403_派林生物_2025_ESG报告:p20:b1,paragraph,llm_error,证据明确披露了供应商管理制度及规程，符合布尔型指标要求。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000526_学大教育_2025_ESG报告,s_research_development,研发投入,S,quantitative,error,3543.10,万元人民币,"研发投入金额 | 单位 | 2024年 | 2025年 研发投入金额 | 万元人民币 | 3,495.12 | 3,543.10",44,000526_学大教育_2025_ESG报告:p44:b0,table,llm_error,表格明确披露2025年研发投入金额及单位 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000537_绿发电力_2025_ESG报告,s_supplier,供应商管理,S,boolean,error,true,,公司执行《供应商关系管理办法(试行)》等相关内部管理规范，将供应商管理纳入采购全生命周期管理活动中，形成供应商进入一退出的全面合规管理体系。,22,000537_绿发电力_2025_ESG报告:p22:b13,paragraph,llm_error,证据明确披露了供应商管理制度及全生命周期管理措施。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000557_西部创业_2025_可持续发展报告,s_human_rights,人权与劳工准则,S,boolean,error,true,,我们严格遵守《妇女权益保障法》等法规，制定实施《员工管理办法》《劳动合同》《集体合同》，坚持公平就业，严禁任何形式的歧视、强迫劳动及使用童工。,38,000557_西部创业_2025_可持续发展报告:p38:b40,paragraph,llm_error,证据明确披露了反歧视、反强迫劳动及禁止童工的政策与措施。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000598_兴蓉环境_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,error,5078739.00,千瓦时,"议题:能源利用 光伏发电 | 千瓦时 | 5,078,739.00",35,000598_兴蓉环境_2025_ESG报告:p35:b14,table,llm_error,证据明确披露光伏发电量，属于可再生能源。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000720_新能泰山_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,error,0,人,女性董事数量 | 人 | 0 | 1 | 1 男性董事数量 | 人 | 10 | 9 | 9,34,000720_新能泰山_2025_ESG报告:p34:b2,table,llm_error,证据明确披露了2025年女性董事数量为0人。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000720_新能泰山_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,error,9,次,治理指标 | 董事会召开次数 | 次 | 9 | 12 | 9,34,000720_新能泰山_2025_ESG报告:p34:b2,table,llm_error,表格明确列出2025年董事会召开次数为9次。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
000720_新能泰山_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,error,5,次,治理指标 | 股东会召开次数 | 次 | 5 | 6 | 3,34,000720_新能泰山_2025_ESG报告:p34:b2,table,llm_error,证据表格明确披露2025年股东会召开次数为5次。 evidence quote not uniquely traceable to candidates,检查 llm_errors.csv 中 raw_response 和候选证据。,
