pilot_order,pilot_id,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path,manual_priority,disagreement_fields,disclosure_a,disclosure_b,value_a,value_b,unit_a,unit_b,evidence_pages_a,evidence_pages_b,evidence_text_a,evidence_text_b,confidence_a,confidence_b,note_a,note_b
3,pilot30-03,ng1-113ea44efa7c1a,natural-gold-v1,000628_高新发展_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,S/boolean,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf,high,value,found,found,0,,,,51,51,未发生任何歧视、强迫劳动或雇佣童工事件,未发生任何歧视、强迫劳动或雇佣童工事件,high,high,,
4,pilot30-04,ng1-f849f317c85af4,natural-gold-v1,603979_金诚信_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,G/qualitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf,high,value|evidence_text,found,found,公司秉着“公平、公正、公开”原则，客观、真实、准确、完整地进行投资者沟通和信息披露，增强市场信任度和投资者信心，并重视投资者的意见和建议，积极回应投资者关切，进而实现公司价值与投资者利益的共同增长，并常态化组织高级管理人员和相关部门负责人进行投资者关系工作相关知识的培训。,,,,25,25,公司秉着“公平、公正、公开”原则，客观、真实、准确、完整地进行投资者沟通和信息披露，增强市场信任度和投资者信心，并重视投资者的意见和建议，积极回应投资者关切，进而实现公司价值与投资者利益的共同增长，并常态化组织高级管理人员和相关部门负责人进行投资者关系工作相关知识的培训。,为了规范公司信息披露行为，加强公司与投资者之间的信息沟通，进一步完善公司治理结构，切实保护投资者特别是社会公众投资者的合法权益，金诚信结合实际情况，根据《公司法》、《证券法》、《上市公司信息披露管理办法》、《上海证券交易所股票上市规则》和相关法律、法规以及《公司章程》的规定，制定了《信息披露管理制度》、《投资者关系管理制度》、《投资者来访接待工作管理办法》和《市值管理制度》。报告期内，公司严格遵守执行上述规则。公司秉着“公平、公正、公开”原则，客观、真实、准确、完整地进行投资者沟通和信息披露，增强市场信任度和投资者信心，并重视投资者的意见和建议，积极回应投资者关切，进而实现公司价值与投资者利益的共同增长，并常态化组织高级管理人员和相关部门负责人进行投资者关系工作相关知识的培训。,high,high,,
5,pilot30-05,ng1-151e34d6ad8d6e,natural-gold-v1,603329_上海雅仕_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,G/boolean,data/raw_pdfs/603329_上海雅仕_2025_ESG报告.pdf,high,disclosure,uncertain,found,,,,,,5,,上海雅仕致力于将可持续发展理念融入企业战略，组织编制 ESG 报告，不断完善 ESG 治理架构和运行机制，了解并及时回应各利益相关方期望与诉求，积极承担社会责任，促进公司可持续发展,medium,high,候选证据中未明确披露ESG治理架构的具体内容，仅提及'可持续发展治理'和'ESG治理'关键词，但未说明治理架构、委员会或工作小组等具体机制。,
7,pilot30-07,ng1-ae0b1b3f4c2d52,natural-gold-v1,600846_同济科技_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/600846_同济科技_2025_ESG报告.pdf,high,disclosure,uncertain,found,,3561,,人,,8,,员工总人数 3561 <sub>人</sub>,medium,high,候选证据中未明确披露员工总数，仅在表格中提及'研发人员数量 | 人 | 348 | 384 | 494'和'研发人员占员工总人数比例 | % | 11.42 | 11.52 | 13.87'，但未直接给出员工总数。,
14,pilot30-14,ng1-b3c8cbb3d6cafd,natural-gold-v1,688709_成都华微_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,G/boolean,data/raw_pdfs/688709_成都华微_2025_ESG报告.pdf,high,value|evidence_pages|evidence_text,found,found,1,,,,18,"18,21",董事会下设战略与ESG委员会、薪酬与考核委员会、提名委员会、审计委员会4个专门委员会,董事会下设战略与ESG委员会、薪酬与考核委员会、提名委员会、审计委员会4个专门委员会，从不同的角度为公司发展和决策提供专业意见和建议。审计委员会成员由三名不在公司担任高级管理人员的董事组成，其中独立董事应当过半数，并由独立董事中会计专业人士担任召集人。主要负责公司内、外部审计的沟通、监督和核查工作，并行使《公司法》规定的监事会的职权。,high,high,,
20,pilot30-20,ng1-c79f57a9656b02,natural-gold-v1,688560_明冠新材_2025_ESG报告,s_training,员工培训,S,quantitative,S/quantitative,data/raw_pdfs/688560_明冠新材_2025_ESG报告.pdf,high,period|value|evidence_text,found,found,16,288,小时,小时,44,44,安全培训总时长 | 小时 | 16 | 34,培训总时长 | 小时 | 288 | 103,high,high,,
27,pilot30-27,ng1-af0ae7ee0e2686,natural-gold-v1,000923_河钢资源_2025_ESG报告,s_occupational_health,职业健康,S,qualitative,S/qualitative,data/raw_pdfs/000923_河钢资源_2025_ESG报告.pdf,high,value|unit|evidence_pages|evidence_text,found,found,100,,%,,23,"23,44",积极组织开展员工健康体检，确保所有员工均接受医学检查并获准胜任其岗位职责，提前预防职业健康隐患；,公司将员工健康与安全置于首位，严格遵守《公司员工行为准则》及安全、健康、环境和质量(SHEO)政策等规定，完善职业健康管理体系：积极组织开展员工健康体检，确保所有员工均接受医学检查并获准胜任其岗位职责，提前预防职业健康隐患；积极开展职业健康教育和宣传，组织安全文化调查活动，强化员工安全价值观与个人健康认知；关注男性员工与女性员工的心理健康，通过健康步行活动等方式及时缓解员工心理压力；建立帕拉博拉矿区诊所，提供医疗检查和处理意外伤害等医疗服务，并根据要求为员工进行艾滋病毒状况测试及员工援助计划(EAP)，致力于构建增进健康与福祉的工作环境。,high,high,,
30,pilot30-30,ng1-a50c012a1e9f6a,natural-gold-v1,600855_航天长峰_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,E/quantitative,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf,high,disclosure,uncertain,found,,55.40,,吨标准煤,,49,,可再生能源消耗量 | 吨标准煤 | 55.40,low,high,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,
2,pilot30-02,ng1-0d067fbf454485,natural-gold-v1,300261_雅本化学_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,G/qualitative,data/raw_pdfs/300261_雅本化学_2025_ESG报告.pdf,medium,evidence_pages|evidence_text,found,found,,,,,9,8,为准确识别与评估公司的重要议题，我们参考《GRI可持续发展报告标准》(GRIStandards)、《深圳证券交易所上市公司自律监管指引第17号一可持续发展报告(试行)》《国际财务报告可持续披露准则第1号可持续相关财务信息披露一般要求》(IFRSS1）等可持续发展信息披露标准制定科学的分析方法，面向各利益相关方从“影响重要性(即对经济、环境、社会可持续性影响的重要程度)”和“财务重要性(即对公司财务影响的重要程度)”两个维度开展重要性议题识别与评估，明确公司重要性议题，在本报告中进行重点披露和回应，并持续完善ESG管理，助力公司可持续发展。,公司充分尊重和维护利益相关方的合法权益，积极与利益相关方合作，加强与各方的沟通和交流，了解并及时回应各方的关切和期望，为识别可持续发展机遇、加强可持续发展能力、提高信息执露质量提供重要参考。,high,high,,
22,pilot30-22,ng1-61f2a376eb5c2b,natural-gold-v1,002627_三峡旅游_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,G/quantitative,data/raw_pdfs/002627_三峡旅游_2025_ESG报告.pdf,medium,period,found,found,8,8,次,次,52,52,2025年度，公司共召开股东会2次、董事会8次、专门委员会9次，累计接待投资者调研活动10次，通过互动易平台回复投资者关切92次，日均接听投资者来电2-3通，实现投资者沟通“零距离”、信息披露“零时差”。,2025年度，公司共召开股东会2次、董事会8次、专门委员会9次，累计接待投资者调研活动10次，通过互动易平台回复投资者关切92次，日均接听投资者来电2-3通，实现投资者沟通“零距离”、信息披露“零时差”。,high,high,,
