report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,llm_confidence,llm_reason,source_candidate_count,elapsed_seconds,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,raw_response
000016_深康佳Ａ_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,found,"117,319.54",吨二氧化碳当量,,"温室气体排放总量 | 吨二氧化碳当量 | 117,319.54 | 113,126.46",15,000016_深康佳Ａ_2025_ESG报告:p15:b0,table,0.9500,明确数值,2,0.988,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_ghg_intensity,温室气体排放强度,E,quantitative,found,16.11,吨二氧化碳当量/百万营收,,温室气体排放强度 | 吨二氧化碳当量/百万营收 | 16.11 | 16.49,15,000016_深康佳Ａ_2025_ESG报告:p15:b0,table,0.0000,明确数值匹配,2,0.828,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,成立EHSQ委员会，设置环保与碳排放专业组，配备专职管理人员，制定管理规定明确碳排放管理要求,康佳高度重视气候变化带来的机遇与挑战，扎实推进碳排放管理工作，以EHSQ管理体系为支撑，成立EHSQ委员会，设置环保与碳排放专业组，配备专职管理人员负责节能降碳相关工作，通过制定《康佳集团股份有限公司节能降碳与生态环境保护管理工作规定》等政策文件，明确能源与碳排放管理、风险管控与监督检查等管理要求,13,000016_深康佳Ａ_2025_ESG报告:p13:b3,paragraph,0.9500,明确披露碳排放管理措施,2,0.978,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_climate_risk,气候风险管理,E,boolean,found,true,,公司基于TCFD框架完善气候风险管理体系，识别物理风险、转型风险和机遇，开展常态化识别与精细化评估。,基于气候相关财务信息披露工作组（TCFD）的披露建议与要求完善气候变化风险管理体系，综合判断当下自然与社会环境趋势，从物理风险、转型风险和机遇三大类别识别不同情境下的风险和机遇类型，并不断完善管理策略。,14,000016_深康佳Ａ_2025_ESG报告:p14:b4,paragraph,0.0000,明确披露TCFD框架应用,5,0.954,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,found,3.21,万吨标准煤,,能源消耗总量 | 万吨标准煤 | 3.21 | 3.50,15,000016_深康佳Ａ_2025_ESG报告:p15:b0,table,0.9500,明确数值匹配,2,0.757,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,found,14229.84,万千瓦时,,"电力消耗量 | 14,229.84万千瓦时",19,000016_深康佳Ａ_2025_ESG报告:p19:b5,table,0.9500,明确数值匹配,3,0.829,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_fuel_consumption,燃料消耗量,E,quantitative,found,114.94,吨,,汽油消耗量 | 114.94吨,42,000016_深康佳Ａ_2025_ESG报告:p42:b3,table,0.9500,明确数值匹配指标名称。,3,0.898,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_water_total,总用水量,E,quantitative,found,148.27,万吨,,新鲜水用水量 | 万吨 | - | 114.63 | 148.27,43,000016_深康佳Ａ_2025_ESG报告:p43:b0,table,0.9500,明确数值匹配,2,0.812,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,found,36.54,吨,,化学需氧量排放量 | 36.54 吨 | ↓ 8.13%,17,000016_深康佳Ａ_2025_ESG报告:p17:b24,table,0.0000,明确数值,2,0.789,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_ammonia_nitrogen,氨氮排放量,E,quantitative,found,4.5,吨,,氨氮排放量 | 4.5 吨 | ↓ 30.47%,17,000016_深康佳Ａ_2025_ESG报告:p17:b24,table,0.9500,明确数值,2,0.783,false,false,none,,
000016_深康佳Ａ_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,found,"18,725.42",吨,,"一般废弃物产生量 | 18,725.42吨",18,000016_深康佳Ａ_2025_ESG报告:p18:b18,table,0.0000,明确数值匹配,3,0.788,false,false,none,,
