pilot_order,pilot_id,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path,draft_id,retrieval_strategy,model,prompt_version,disclosure,subject,period,scope,value,unit,evidence_pages,evidence_text,confidence,note,candidate_pages,candidate_block_ids,validation_status,validation_errors,raw_response_sha256,elapsed_seconds
1,pilot30-01,ng1-a214898ca3c816,natural-gold-v1,688515_裕太微_2025_ESG报告,e_particulate,颗粒物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688515_裕太微_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
2,pilot30-02,ng1-0d067fbf454485,natural-gold-v1,300261_雅本化学_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,G/qualitative,data/raw_pdfs/300261_雅本化学_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,8,公司充分尊重和维护利益相关方的合法权益，积极与利益相关方合作，加强与各方的沟通和交流，了解并及时回应各方的关切和期望，为识别可持续发展机遇、加强可持续发展能力、提高信息执露质量提供重要参考。,high,,"2,3,8,9",300261_雅本化学_2025_ESG报告:p8:b0|300261_雅本化学_2025_ESG报告:p8:b1|300261_雅本化学_2025_ESG报告:p8:b2|300261_雅本化学_2025_ESG报告:p8:b3|300261_雅本化学_2025_ESG报告:p2:b8|300261_雅本化学_2025_ESG报告:p2:b9|300261_雅本化学_2025_ESG报告:p2:b10|300261_雅本化学_2025_ESG报告:p9:b0|300261_雅本化学_2025_ESG报告:p9:b1|300261_雅本化学_2025_ESG报告:p9:b2|300261_雅本化学_2025_ESG报告:p9:b3|300261_雅本化学_2025_ESG报告:p9:b6|300261_雅本化学_2025_ESG报告:p9:b7|300261_雅本化学_2025_ESG报告:p3:b0|300261_雅本化学_2025_ESG报告:p3:b1|300261_雅本化学_2025_ESG报告:p3:b2,valid,,4a46b89c3378430c1a6810726631b4c9376ab13950fdbf7d52da5b8a7b547616,0.982
3,pilot30-03,ng1-113ea44efa7c1a,natural-gold-v1,000628_高新发展_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,S/boolean,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,51,未发生任何歧视、强迫劳动或雇佣童工事件,high,,"19,51,63",000628_高新发展_2025_ESG报告:p63:b1|000628_高新发展_2025_ESG报告:p63:b2|000628_高新发展_2025_ESG报告:p51:b0|000628_高新发展_2025_ESG报告:p51:b1|000628_高新发展_2025_ESG报告:p51:b7|000628_高新发展_2025_ESG报告:p51:b8|000628_高新发展_2025_ESG报告:p51:b9|000628_高新发展_2025_ESG报告:p19:b3|000628_高新发展_2025_ESG报告:p19:b4|000628_高新发展_2025_ESG报告:p19:b5,valid,,25915b39275b3c7c2e0de246feae067c2cfdd51736279cbf6e10522608731b49,0.851
4,pilot30-04,ng1-f849f317c85af4,natural-gold-v1,603979_金诚信_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,G/qualitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,25,为了规范公司信息披露行为，加强公司与投资者之间的信息沟通，进一步完善公司治理结构，切实保护投资者特别是社会公众投资者的合法权益，金诚信结合实际情况，根据《公司法》、《证券法》、《上市公司信息披露管理办法》、《上海证券交易所股票上市规则》和相关法律、法规以及《公司章程》的规定，制定了《信息披露管理制度》、《投资者关系管理制度》、《投资者来访接待工作管理办法》和《市值管理制度》。报告期内，公司严格遵守执行上述规则。公司秉着“公平、公正、公开”原则，客观、真实、准确、完整地进行投资者沟通和信息披露，增强市场信任度和投资者信心，并重视投资者的意见和建议，积极回应投资者关切，进而实现公司价值与投资者利益的共同增长，并常态化组织高级管理人员和相关部门负责人进行投资者关系工作相关知识的培训。,high,,"17,25,77,84",603979_金诚信_2025_ESG报告:p25:b0|603979_金诚信_2025_ESG报告:p25:b1|603979_金诚信_2025_ESG报告:p25:b2|603979_金诚信_2025_ESG报告:p25:b3|603979_金诚信_2025_ESG报告:p25:b4|603979_金诚信_2025_ESG报告:p84:b0|603979_金诚信_2025_ESG报告:p84:b1|603979_金诚信_2025_ESG报告:p77:b2|603979_金诚信_2025_ESG报告:p77:b3|603979_金诚信_2025_ESG报告:p77:b4|603979_金诚信_2025_ESG报告:p77:b5|603979_金诚信_2025_ESG报告:p77:b6|603979_金诚信_2025_ESG报告:p77:b7|603979_金诚信_2025_ESG报告:p17:b1|603979_金诚信_2025_ESG报告:p17:b2|603979_金诚信_2025_ESG报告:p17:b3,valid,,e8d1f9e45db64151d0e5faefe3338de0afc6ac966e3e6b810dda3ac73d8b3a64,1.386
5,pilot30-05,ng1-151e34d6ad8d6e,natural-gold-v1,603329_上海雅仕_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,G/boolean,data/raw_pdfs/603329_上海雅仕_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,5,上海雅仕致力于将可持续发展理念融入企业战略，组织编制 ESG 报告，不断完善 ESG 治理架构和运行机制，了解并及时回应各利益相关方期望与诉求，积极承担社会责任，促进公司可持续发展,high,,"3,5,7",603329_上海雅仕_2025_ESG报告:p5:b7|603329_上海雅仕_2025_ESG报告:p5:b8|603329_上海雅仕_2025_ESG报告:p5:b9|603329_上海雅仕_2025_ESG报告:p5:b10|603329_上海雅仕_2025_ESG报告:p5:b11|603329_上海雅仕_2025_ESG报告:p5:b14|603329_上海雅仕_2025_ESG报告:p3:b0|603329_上海雅仕_2025_ESG报告:p3:b1|603329_上海雅仕_2025_ESG报告:p3:b2|603329_上海雅仕_2025_ESG报告:p3:b5|603329_上海雅仕_2025_ESG报告:p3:b6|603329_上海雅仕_2025_ESG报告:p3:b7|603329_上海雅仕_2025_ESG报告:p7:b4|603329_上海雅仕_2025_ESG报告:p7:b5|603329_上海雅仕_2025_ESG报告:p7:b6|603329_上海雅仕_2025_ESG报告:p7:b7,valid,,7a70fa7430b4285abfac8201e7a006d28e1ee1b00c1d3e47ae00bb94e7a1077a,0.812
6,pilot30-06,ng1-a88559976da281,natural-gold-v1,300459_汤姆猫_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,S/qualitative,data/raw_pdfs/300459_汤姆猫_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,,,39,公司制定了《员工手册》《新员工入职培训制度》《公司薪酬制度》《考勤与休假管理办法》《绩效管理办法》等涵盖薪酬发放社保参保健康安全奖惩规则等内容保障员工合法权益的同时还为员工提供商业保险通讯补贴餐补交通补贴 健康体检以及生日福利节日福利休假福利等主富多样的福利体系，针对外省及外籍引进人才提供落户咨询与协助服务为外籍核心人才专项开通工作签证办理，居留许可申请等服务通道，全方位解决员工工作与生活后顾之忧,high,,"38,39,40,41",300459_汤姆猫_2025_ESG报告:p39:b8|300459_汤姆猫_2025_ESG报告:p39:b9|300459_汤姆猫_2025_ESG报告:p39:b13|300459_汤姆猫_2025_ESG报告:p39:b14|300459_汤姆猫_2025_ESG报告:p39:b15|300459_汤姆猫_2025_ESG报告:p39:b16|300459_汤姆猫_2025_ESG报告:p41:b2|300459_汤姆猫_2025_ESG报告:p41:b3|300459_汤姆猫_2025_ESG报告:p41:b4|300459_汤姆猫_2025_ESG报告:p41:b15|300459_汤姆猫_2025_ESG报告:p41:b16|300459_汤姆猫_2025_ESG报告:p41:b17|300459_汤姆猫_2025_ESG报告:p38:b1|300459_汤姆猫_2025_ESG报告:p38:b2|300459_汤姆猫_2025_ESG报告:p38:b3|300459_汤姆猫_2025_ESG报告:p40:b4,valid,,7ddcd875c0d0b7a4e7c3d12442ba38c32396b65b645593963afc0bc366950b06,1.164
7,pilot30-07,ng1-ae0b1b3f4c2d52,natural-gold-v1,600846_同济科技_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/600846_同济科技_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,3561,人,8,员工总人数 3561 <sub>人</sub>,high,,"8,37",600846_同济科技_2025_ESG报告:p37:b1|600846_同济科技_2025_ESG报告:p37:b2|600846_同济科技_2025_ESG报告:p37:b3|600846_同济科技_2025_ESG报告:p8:b28|600846_同济科技_2025_ESG报告:p8:b29|600846_同济科技_2025_ESG报告:p8:b30,valid,,98b98b0286f2ebcd0646a4f87ca3321a434fac331960c64f71f8279ec4ed44dc,0.831
8,pilot30-08,ng1-4e81ed14c025a5,natural-gold-v1,301522_上大股份_2025_ESG报告,s_volunteer_hours,志愿服务时长,S,quantitative,S/quantitative,data/raw_pdfs/301522_上大股份_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
9,pilot30-09,ng1-05b524600dcbd6,natural-gold-v1,601106_中国一重_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/601106_中国一重_2025_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,found,,,,11%,%,43,女性员工占比 | 11%,high,,"43,44,59",601106_中国一重_2025_ESG报告:p43:b17|601106_中国一重_2025_ESG报告:p43:b18|601106_中国一重_2025_ESG报告:p43:b19|601106_中国一重_2025_ESG报告:p43:b20|601106_中国一重_2025_ESG报告:p44:b15|601106_中国一重_2025_ESG报告:p44:b16|601106_中国一重_2025_ESG报告:p44:b17|601106_中国一重_2025_ESG报告:p59:b1|601106_中国一重_2025_ESG报告:p59:b2,valid,,a861c7a69778a46b73d0908b0aa5e759b6d5ed0f9418027355785dc1869e6f32,0.827
10,pilot30-10,ng1-99c4e48ea2133a,natural-gold-v1,000922_佳电股份_2026_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,E/quantitative,data/raw_pdfs/000922_佳电股份_2026_ESG报告.pdf,silver_b,page_context_rank_v1,qwen3:30b,silver-b-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
