report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,llm_confidence,llm_reason,source_candidate_count,elapsed_seconds,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,raw_response,review_label,review_notes,manual_label,manual_notes
688613_奥精医疗_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,found,化学需氧量,,,废水污染物包含 pH 值、氨氮、化学需氧量、五日生化需氧量。,33,688613_奥精医疗_2025_ESG报告:p33:b1,paragraph,0.0000,明确提及化学需氧量,1,0.764,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
603990_麦迪科技_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,0,,,客户投诉数量0,34,603990_麦迪科技_2025_ESG报告:p34:b15,paragraph,0.0000,明确数值0,5,0.720,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
688439_振华风光_2025_ESG报告,e_air_pollutants,大气污染物排放,E,quantitative,found,颗粒物（PM）、挥发性有机物（VOCs）等,,,公司生产运营过程中主要大气污染物包括颗粒物（PM）、挥发性有机物（VOCs）等。,19,688439_振华风光_2025_ESG报告:p19:b5,paragraph,0.0000,明确列出污染物类型,1,0.767,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
600278_东方创业_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,7:2,,,董事会成员男女比例为 7 : 2,11,600278_东方创业_2025_ESG报告:p11:b14,paragraph,0.0000,明确提及比例,3,0.709,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
600278_东方创业_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,,,董事会成员男女比例为 7 : 2,11,600278_东方创业_2025_ESG报告:p11:b14,paragraph,0.0000,明确提及董事会成员比例,3,0.727,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
600278_东方创业_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,6:3,,,非独立董事和独立董事比例为 6 : 3,11,600278_东方创业_2025_ESG报告:p11:b15,paragraph,0.0000,明确给出比例,2,0.744,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
600783_鲁信创投_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,2,,,独立董事2位 非独立董事1位 独董担任主任委员,16,600783_鲁信创投_2025_ESG报告:p16:b8,paragraph,0.0000,明确提及独立董事数量,5,0.788,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
688709_成都华微_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,2,,,董事会 (董事会成员) 2,9,688709_成都华微_2025_ESG报告:p9:b3,title,0.0000,明确提及董事会人数为2,5,0.733,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
688226_威腾电气_2025_ESG报告,e_ammonia_nitrogen,氨氮排放量,E,quantitative,found,氨氮,,,在废水排放口安装在线监测设备并接入政府监管平台，实现COD、BOD 、氨氮、pH、SS 等关键指标的实时监控和数据共享，动态监管排放达标情况。,19,688226_威腾电气_2025_ESG报告:p19:b18,paragraph,0.9000,明确提及氨氮指标,1,0.816,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
603373_安邦护卫_2025_ESG暨社会责任报告,g_board_size,董事会人数,G,quantitative,found,11,,,谢伟 | 董事长 | | | ✓ | ✓ | 石焕挺 | 董事 | | | | | ✓ 柯林田 | 董事 | | | | | ✓ 戴楠 | 董事 | | | | | 王方瑞 | 董事 | | | | ✓ | 赵磊 | 董事 | | | | | 叶加若 | 职工董事 | | | | | 王韬 | 独立董事 | ✓ | | ✓ | | ✓ 马文超 | 独立董事 | ✓ | ✓ | | | 梁立 | 独立董事 | ✓ | ✓ | ✓ | | 李道春 | 董事 | | ✓ | | ✓ |,11,603373_安邦护卫_2025_ESG暨社会责任报告:p11:b3,table,0.9500,明确列出11名董事,5,1.291,false,true,none,quantitative found result lacks numeric value or unit in evidence_quote,,,,,
300597_吉大通信_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,0,件,,报告期内，公司未收到客户投诉。,57,300597_吉大通信_2025_ESG报告:p57:b32,paragraph,0.0000,明确提及未收到投诉,5,0.757,true,false,zero_event_normalization,normalized zero-event count from evidence_quote,,,,,
300949_奥雅股份_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,found,0,起,,2025年度工伤 0,25,300949_奥雅股份_2025_ESG报告:p25:b14,paragraph,0.0000,明确数值,1,0.718,true,false,zero_event_normalization,normalized zero-event count from evidence_quote,,,,,
600651_飞乐音响_2025_可持续发展报告,s_customer_complaints,客户投诉,S,quantitative,found,24,件,,2025年，共处理客户投诉24件，全部得到有效解决。,30,600651_飞乐音响_2025_可持续发展报告:p30:b3,paragraph,0.0000,明确数值24,5,0.830,true,false,customer_complaint_count_override,preferred explicit customer complaint count over adjacent zero-event text,,,,,
