indicator_id,indicator_name,selected,source_decision,dominant_error_type,original_keywords,revised_keywords,revision_reason
e_carbon_management,碳排放管理措施,yes,keep,none,碳排放管理|碳管理|温室气体管理|碳盘查,碳排放管理|碳管理|温室气体管理|碳盘查|碳排放管理机制|碳排放管理制度|节能降碳措施,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_climate_risk,气候风险管理,yes,keep,none,气候风险|气候变化风险|气候相关风险|TCFD,气候风险|气候变化风险|气候相关风险|TCFD|气候风险管理机制|气候风险管理体系|气候风险应对措施,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_environmental_penalty,环境处罚,yes,keep,none,环境处罚|环保处罚|环境违法|环境违规,环境处罚|环保处罚|环境违法|环境违规|环境处罚记录|环保处罚记录|环境违法违规,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_biodiversity,生物多样性保护,yes,keep,none,生物多样性|生态保护|生态修复|自然保护,生物多样性|生态保护|生态修复|自然保护|生物多样性保护措施|生态保护措施|生态修复措施,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_green_office,绿色办公,yes,keep,none,绿色办公|无纸化办公|节能办公|低碳办公,绿色办公|无纸化办公|节能办公|低碳办公|绿色办公措施|无纸化办公措施|低碳办公措施,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
s_data_security,数据安全与隐私保护,yes,keep,none,数据安全|隐私保护|信息安全|客户隐私,数据安全|隐私保护|信息安全|客户隐私|数据安全管理制度|隐私保护机制|信息安全管理体系,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
s_supplier,供应商管理,yes,keep,none,供应商管理|供应链管理|供应商审核|责任供应链,供应商管理|供应链管理|供应商审核|责任供应链|供应商管理制度|供应商审核机制|责任供应链管理,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
s_human_rights,人权与劳工准则,yes,keep,none,人权|童工|强迫劳动|劳工准则,人权|童工|强迫劳动|劳工准则|人权保护政策|禁止童工|禁止强迫劳动,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_esg_governance,ESG 治理架构,yes,keep,none,ESG治理|可持续发展治理|ESG委员会|ESG工作小组,ESG治理|可持续发展治理|ESG委员会|ESG工作小组|ESG治理架构|ESG治理机制|可持续发展治理架构,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_anti_corruption,反腐败机制,yes,keep,none,反腐败|反腐|廉洁|反商业贿赂|商业道德,反腐败|反腐|廉洁|反商业贿赂|商业道德|反腐败机制|反商业贿赂制度|廉洁从业制度,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_compliance_management,合规管理,yes,keep,none,合规管理|合规体系|合规风险|依法合规,合规管理|合规体系|合规风险|依法合规|合规管理体系|合规管理制度|合规风险管理,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
