pilot_order,pilot_id,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path,draft_id,retrieval_strategy,model,prompt_version,disclosure,subject,period,scope,value,unit,evidence_pages,evidence_text,confidence,note,candidate_pages,candidate_block_ids,validation_status,validation_errors,raw_response_sha256,elapsed_seconds
1,pilot30-01,ng1-a214898ca3c816,natural-gold-v1,688515_裕太微_2025_ESG报告,e_particulate,颗粒物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688515_裕太微_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
2,pilot30-02,ng1-0d067fbf454485,natural-gold-v1,300261_雅本化学_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,G/qualitative,data/raw_pdfs/300261_雅本化学_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,,,9,为准确识别与评估公司的重要议题，我们参考《GRI可持续发展报告标准》(GRIStandards)、《深圳证券交易所上市公司自律监管指引第17号一可持续发展报告(试行)》《国际财务报告可持续披露准则第1号可持续相关财务信息披露一般要求》(IFRSS1）等可持续发展信息披露标准制定科学的分析方法，面向各利益相关方从“影响重要性(即对经济、环境、社会可持续性影响的重要程度)”和“财务重要性(即对公司财务影响的重要程度)”两个维度开展重要性议题识别与评估，明确公司重要性议题，在本报告中进行重点披露和回应，并持续完善ESG管理，助力公司可持续发展。,high,,"2,3,7,8,9",300261_雅本化学_2025_ESG报告:p2:b9|300261_雅本化学_2025_ESG报告:p8:b0|300261_雅本化学_2025_ESG报告:p9:b1|300261_雅本化学_2025_ESG报告:p9:b9|300261_雅本化学_2025_ESG报告:p8:b2|300261_雅本化学_2025_ESG报告:p3:b1|300261_雅本化学_2025_ESG报告:p7:b1|300261_雅本化学_2025_ESG报告:p8:b1,valid,,e7883788048fc4417f1b6e775c8f3af394fa9af31353e45b48bee87274378d74,1.037
3,pilot30-03,ng1-113ea44efa7c1a,natural-gold-v1,000628_高新发展_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,S/boolean,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,0,,51,未发生任何歧视、强迫劳动或雇佣童工事件,high,,"19,51,63",000628_高新发展_2025_ESG报告:p63:b1|000628_高新发展_2025_ESG报告:p51:b8|000628_高新发展_2025_ESG报告:p19:b4|000628_高新发展_2025_ESG报告:p51:b0,valid,,0e753cdd2c3b06f5984cee65efe1cab35d6de0df2535f7992830214f325afdd5,0.813
4,pilot30-04,ng1-f849f317c85af4,natural-gold-v1,603979_金诚信_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,G/qualitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,公司秉着“公平、公正、公开”原则，客观、真实、准确、完整地进行投资者沟通和信息披露，增强市场信任度和投资者信心，并重视投资者的意见和建议，积极回应投资者关切，进而实现公司价值与投资者利益的共同增长，并常态化组织高级管理人员和相关部门负责人进行投资者关系工作相关知识的培训。,,25,公司秉着“公平、公正、公开”原则，客观、真实、准确、完整地进行投资者沟通和信息披露，增强市场信任度和投资者信心，并重视投资者的意见和建议，积极回应投资者关切，进而实现公司价值与投资者利益的共同增长，并常态化组织高级管理人员和相关部门负责人进行投资者关系工作相关知识的培训。,high,,"17,19,25,29,42,77,84",603979_金诚信_2025_ESG报告:p25:b2|603979_金诚信_2025_ESG报告:p29:b5|603979_金诚信_2025_ESG报告:p42:b4|603979_金诚信_2025_ESG报告:p77:b6|603979_金诚信_2025_ESG报告:p84:b1|603979_金诚信_2025_ESG报告:p17:b2|603979_金诚信_2025_ESG报告:p19:b1|603979_金诚信_2025_ESG报告:p25:b3,valid,,33f105f0fabf94857f731f8b9073c47656325d68d8a51113dceeea8b61e92a54,1.073
5,pilot30-05,ng1-151e34d6ad8d6e,natural-gold-v1,603329_上海雅仕_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,G/boolean,data/raw_pdfs/603329_上海雅仕_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,候选证据中未明确披露ESG治理架构的具体内容，仅提及'可持续发展治理'和'ESG治理'关键词，但未说明治理架构、委员会或工作小组等具体机制。,"3,5,7,26",603329_上海雅仕_2025_ESG报告:p5:b15|603329_上海雅仕_2025_ESG报告:p3:b9|603329_上海雅仕_2025_ESG报告:p7:b5|603329_上海雅仕_2025_ESG报告:p7:b6|603329_上海雅仕_2025_ESG报告:p26:b5|603329_上海雅仕_2025_ESG报告:p3:b1|603329_上海雅仕_2025_ESG报告:p3:b6|603329_上海雅仕_2025_ESG报告:p5:b8,valid,,ec3b3025f12387d5e11475ea29ea48701dcf7afb32f9a44fa1e008108d133b4c,0.676
6,pilot30-06,ng1-a88559976da281,natural-gold-v1,300459_汤姆猫_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,S/qualitative,data/raw_pdfs/300459_汤姆猫_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,,,39,公司制定了《员工手册》《新员工入职培训制度》《公司薪酬制度》《考勤与休假管理办法》《绩效管理办法》等涵盖薪酬发放社保参保健康安全奖惩规则等内容保障员工合法权益的同时还为员工提供商业保险通讯补贴餐补交通补贴 健康体检以及生日福利节日福利休假福利等主富多样的福利体系，针对外省及外籍引进人才提供落户咨询与协助服务为外籍核心人才专项开通工作签证办理，居留许可申请等服务通道，全方位解决员工工作与生活后顾之忧,high,,"38,39,40,41,42",300459_汤姆猫_2025_ESG报告:p38:b2|300459_汤姆猫_2025_ESG报告:p41:b16|300459_汤姆猫_2025_ESG报告:p39:b14|300459_汤姆猫_2025_ESG报告:p40:b5|300459_汤姆猫_2025_ESG报告:p39:b8|300459_汤姆猫_2025_ESG报告:p39:b17|300459_汤姆猫_2025_ESG报告:p41:b3|300459_汤姆猫_2025_ESG报告:p42:b2,valid,,6f5ecab2a3b01dedf4af40f3443b784391a87f3546a5a3de14f93a6821fbe287,0.867
7,pilot30-07,ng1-ae0b1b3f4c2d52,natural-gold-v1,600846_同济科技_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/600846_同济科技_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,候选证据中未明确披露员工总数，仅在表格中提及'研发人员数量 | 人 | 348 | 384 | 494'和'研发人员占员工总人数比例 | % | 11.42 | 11.52 | 13.87'，但未直接给出员工总数。,"8,37",600846_同济科技_2025_ESG报告:p37:b2|600846_同济科技_2025_ESG报告:p8:b29,valid,,376f893ae8e8ee3ddbc46c06fc26b0e008c0e23f85d59cc74c2f30febdb9938b,0.765
8,pilot30-08,ng1-4e81ed14c025a5,natural-gold-v1,301522_上大股份_2025_ESG报告,s_volunteer_hours,志愿服务时长,S,quantitative,S/quantitative,data/raw_pdfs/301522_上大股份_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
9,pilot30-09,ng1-05b524600dcbd6,natural-gold-v1,601106_中国一重_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/601106_中国一重_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,found,,,,11%,%,43,女性员工占比 | 11%,high,,"43,44,59",601106_中国一重_2025_ESG报告:p44:b16|601106_中国一重_2025_ESG报告:p59:b1|601106_中国一重_2025_ESG报告:p43:b19|601106_中国一重_2025_ESG报告:p43:b18,valid,,7dfff398e4b47a9d580a1db6b413958d65c2d050fdb0ee04cf0b6e7f2d44eeb3,0.563
10,pilot30-10,ng1-99c4e48ea2133a,natural-gold-v1,000922_佳电股份_2026_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,E/quantitative,data/raw_pdfs/000922_佳电股份_2026_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,low,关键词检索未召回候选，不能据此认定未披露，需人工全文检查。,,,needs_human,no_candidate_retrieval,,0.000
11,pilot30-11,ng1-e66f684c582642,natural-gold-v1,603051_鹿山新材_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/603051_鹿山新材_2025_ESG报告.pdf,silver_a,exact_block_rank_v1,qwen3:30b,silver-a-v1,uncertain,,,,,,,,medium,候选证据中提到'范围二排放'作为衡量指标，但未明确披露具体数值或计算方法，仅作为指标名称出现。,24,603051_鹿山新材_2025_ESG报告:p24:b2,valid,,319ce2b73b40b6461a8bae6a1672f200ef9f4e9f84a9f8025323397f49df4346,0.683
