report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,evidence_quote,page_no,block_id,block_type,risk_tag,risk_level,caution_tag,suspected_issue_type,risk_reason
600278_东方创业_2025_ESG报告,g_board_diversity,董事会多元化,G,quantitative,found,7:2,,董事会成员男女比例为 7 : 2,11,600278_东方创业_2025_ESG报告:p11:b14,paragraph,value_unit_missing,high,high_risk_indicator,value_unit_missing,quantitative found result lacks value or unit
600278_东方创业_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,6:3,,非独立董事和独立董事比例为 6 : 3,11,600278_东方创业_2025_ESG报告:p11:b15,paragraph,value_unit_missing,high,,value_unit_missing,quantitative found result lacks value or unit
600783_鲁信创投_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,2,,独立董事2位 非独立董事1位 独董担任主任委员,16,600783_鲁信创投_2025_ESG报告:p16:b8,paragraph,value_unit_missing,high,,value_unit_missing,quantitative found result lacks value or unit
000503_国新健康_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,人,公司董事会由9名董事构成。其中，非独立董事6名，独立董事3名；女性董事3名，占比33%。,30,000503_国新健康_2025_ESG报告:p30:b11,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
000557_西部创业_2025_可持续发展报告,s_customer_complaints,客户投诉,S,quantitative,found,100%,%,客户投诉处理率 | 100%,26,000557_西部创业_2025_可持续发展报告:p26:b6,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
000810_创维数字_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100,%,客户投诉问题整改完成率 | | % | 100,43,000810_创维数字_2025_ESG报告:p43:b1,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
002011_盾安环境_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,人,截至本报告期末，公司董事会由9名董事组成，其中独立董事3名、女性占董事会成员比例超过20%。,8,002011_盾安环境_2025_ESG报告:p8:b7,paragraph,possible_rate_as_count,high,,possible_rate_as_count,count-like indicator contains percent/rate expression
002533_金杯电工_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100%,%,"2025年,公司未发生产品不良召回事件,客诉处理率100%。",24,002533_金杯电工_2025_ESG报告:p24:b7,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
002649_博彦科技_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,7,人,截至2025年底，公司董事会由7名成员组成，其中女性董事1名、占比14.29%，独立董事3名、占比42.86%。,37,002649_博彦科技_2025_ESG报告:p37:b6,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
300035_中科电气_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,人,2025年，董事会共有 9 名董事，其中独立董事 3 名，女性董事 3 名，占比均达 33%。,21,300035_中科电气_2025_ESG报告:p21:b2,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
300149_睿智医药_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100%,%,投诉处理率 | 100% | 未被投诉 | 达成,23,300149_睿智医药_2025_ESG报告:p23:b8,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
300212_易华录_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,截至报告期末，公司董事会成员9名，其中女性董事1名，独立董事3名，独立董事占比为33.33%。,15,300212_易华录_2025_ESG报告:p15:b14,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
300468_四方精创_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100,%,客户投诉及时处理率 | % | 100,42,300468_四方精创_2025_ESG报告:p42:b5,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
301073_君亭酒店_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,90,次,2025年，本集团及各运营点共受理客户投诉90次，投诉解决率达100%。,43,301073_君亭酒店_2025_ESG报告:p43:b9,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
301308_江波龙_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,江波龙董事会由9名董事组成，其中独立董事人数为4人，占比超40%，符合相关法律法规及《公司章程》的规定。,17,301308_江波龙_2025_ESG报告:p17:b6,paragraph,possible_rate_as_count,high,,possible_rate_as_count,count-like indicator contains percent/rate expression
301599_理奇智能_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,0.338,%,质量投诉发生率 | $\leqslant 0.6\%$ | 0.338%,15,301599_理奇智能_2025_ESG报告:p15:b10,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600009_上海机场_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,7,人,公司董事会成员共7人，其中外部董事6人、占比86%，女性董事占比14%,12,600009_上海机场_2025_ESG报告:p12:b5,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600009_上海机场_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100,%,"2025年,上海机场客户投诉处理率100%",48,600009_上海机场_2025_ESG报告:p48:b14,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600475_华光环能_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,公司董事会由 9 名董事组成，其中女性董事 3 名，女性董事占比 33.33%。,23,600475_华光环能_2025_ESG报告:p23:b18,list,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600587_新华医疗_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,11,人,"董事会由11名成员组成,其中女性董事1名,女性董事占比9.09%。",75,600587_新华医疗_2025_ESG报告:p75:b21,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600587_新华医疗_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100%,%,客户投诉回应率和解决率均达,41,600587_新华医疗_2025_ESG报告:p41:b19,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600737_中粮糖业_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,71,次,客户投诉次数为 71 次，较去年下降 24.5%；客户投诉处理率 100%,37,600737_中粮糖业_2025_ESG报告:p37:b6,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600779_水井坊_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100%,%,2025 年，公司通过专项机制确保所有被正式受理的客户投诉实现 100% 的闭环处理。,32,600779_水井坊_2025_ESG报告:p32:b8,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600850_电科数字_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,人,董事会成员共9人，其中独立董事3人，占比33.33%。,9,600850_电科数字_2025_ESG报告:p9:b25,paragraph,possible_rate_as_count,high,,possible_rate_as_count,count-like indicator contains percent/rate expression
600874_创业环保_2025_可持续发展报告,g_board_size,董事会人数,G,quantitative,found,9,名,董事会由9 名董事组成，其中女性董事占比 22.22%,13,600874_创业环保_2025_可持续发展报告:p13:b1,list,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
600963_岳阳林纸_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,7,人,报告期末，公司董事会共有董事7人，其中女性董事4人，占比 57%，体现了董事会成员的性别多元化；同时，董事会成员涵盖了不同年龄段和工作经验的成员，有助干在决策中获得多元化的经验和意见。,51,600963_岳阳林纸_2025_ESG报告:p51:b3,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
601577_长沙银行_2025_可持续发展报告,g_board_size,董事会人数,G,quantitative,found,10,人,在任独立董事4人，占比40%，符合本行《公司章程》规定的“独立董事人数原则上不低于董事会成员总数三分之一”的要求。,18,601577_长沙银行_2025_可持续发展报告:p18:b3,paragraph,possible_rate_as_count,high,,possible_rate_as_count,count-like indicator contains percent/rate expression
603291_联合水务_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,人,报告期内，公司董事会成员共9人，其中3名为独立董事，独立董事占比达33.33%。,45,603291_联合水务_2025_ESG报告:p45:b33,paragraph,possible_rate_as_count,high,,possible_rate_as_count,count-like indicator contains percent/rate expression
603291_联合水务_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100,%,客户投诉处理率 | % | 100 | 100 | 100,79,603291_联合水务_2025_ESG报告:p79:b1,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
603333_尚纬股份_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,董事9名 | 其中独立董事3名占比33.33% 其中非独立董事6名占比66.67% | 其中女性董事5名占比55.56% 召开股东会会议3次 | 召开董事会会议8次,57,603333_尚纬股份_2025_ESG报告:p57:b6,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
603979_金诚信_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,9,名,公司董事会共9名成员，独立董事占比约为33.33%。,22,603979_金诚信_2025_ESG报告:p22:b8,paragraph,possible_rate_as_count,high,,possible_rate_as_count,count-like indicator contains percent/rate expression
605599_菜百股份_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,11,人,董事人数11人 | 独立董事占比36.36% | 女性董事占比36.36%,5,605599_菜百股份_2025_ESG报告:p5:b2,table,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
688503_聚和材料_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,100%,%,投诉处理完成率：100%,41,688503_聚和材料_2025_ESG报告:p41:b7,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
688709_成都华微_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,1,件,- 2025年报告期内产品及服务投诉数目1件 - 客户投诉回复率100% - 客户投诉解决率100% - 2025年，客户满意度得分96.9，符合公司质量目标。,33,688709_成都华微_2025_ESG报告:p33:b12,list,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
688818_电科蓝天_2025_ESG报告,g_board_size,董事会人数,G,quantitative,found,11,人,公司董事会成员 11 人，其中女性董事 1 人，占比 9%，独立董事 4 人，占比 36%。,9,688818_电科蓝天_2025_ESG报告:p9:b11,paragraph,possible_rate_as_count,high,high_risk_indicator,possible_rate_as_count,count-like indicator contains percent/rate expression
603373_安邦护卫_2025_ESG暨社会责任报告,s_work_injury,工伤事故,S,quantitative,found,85221,万元,2025年，公司投入85221万元用于安全生产工作，各类安全风险因素得到有效管控，未发生重大伤亡事故。,26,603373_安邦护卫_2025_ESG暨社会责任报告:p26:b22,paragraph,possible_money_as_count,high,high_risk_indicator,possible_money_as_count,count-like indicator uses money unit
000016_深康佳Ａ_2025_ESG报告,s_employee_rights,员工权益保障,S,qualitative,found,,,员工权益与福利,41,000016_深康佳Ａ_2025_ESG报告:p41:b19,table,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
001287_中电港_2025_ESG报告,g_independent_director_ratio,独立董事占比,G,quantitative,found,4,名,独立董事 4名,10,001287_中电港_2025_ESG报告:p10:b41,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
002079_苏州固锝_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,found,true,,ESG治理体系,8,002079_苏州固锝_2025_ESG报告:p8:b14,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
002444_巨星科技_2025_ESG报告,s_customer_complaints,客户投诉,S,quantitative,found,0,次,客户投诉 0 次。,47,002444_巨星科技_2025_ESG报告:p47:b3,table,evidence_too_short,medium,high_risk_indicator,evidence_too_short,evidence_quote is too short for reliable verification
002573_清新环境_2025_ESG报告,g_business_ethics,商业道德,G,boolean,found,true,,恪守商业道德,10,002573_清新环境_2025_ESG报告:p10:b5,paragraph,evidence_too_short,medium,,evidence_too_short,evidence_quote is too short for reliable verification
