report_id,indicator_id,quote_changed,original_evidence_quote,final_evidence_quote,value_origin,unit_origin,derivation_method,derivation_expression,derivation_inputs_json,review_kind,reviewed_at
000016_深康佳Ａ_2025_ESG报告,e_waste_total,True,"一般废弃物产生量 | 18,725.42吨 危险废弃物产生量 | 3,851吨","一般废弃物产生量 | 18,725.42吨 
危险废弃物产生量 | 3,851吨",derived,direct,aggregation_of_disclosed_components,证据明确列出一般及危险废弃物产生量，求和得总量。,"{""numeric_tokens"":[""18,725.42"",""3,851""],""evidence_quote"":""一般废弃物产生量 | 18,725.42吨 \n危险废弃物产生量 | 3,851吨""}",deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000016_深康佳Ａ_2025_ESG报告,e_air_pollutants,True,二氧化硫排放量 | 0.49吨 | ↓48.45% 氮氧化物排放量 | 32.57吨 | ↓3.21% 烟(粉)尘排放量 | 3.18吨 | ↑0.95% 挥发性有机物排放量 | 13.64吨 | ↓12.44%,"二氧化硫排放量 | 0.49吨 | ↓48.45% 
氮氧化物排放量 | 32.57吨 | ↓3.21% 
烟(粉)尘排放量 | 3.18吨 | ↑0.95% 
挥发性有机物排放量 | 13.64吨 | ↓12.44%",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000016_深康佳Ａ_2025_ESG报告,g_tax_transparency,True,关键指标 | 单位 | 2023年 | 2024年 | 2025年 治理绩效 纳税总额 | 亿元 | 5.45 | 4.52 | 2.81,"关键指标 | 单位 | 2023年 | 2024年 | 2025年 
治理绩效 
纳税总额 | 亿元 | 5.45 | 4.52 | 2.81",,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000158_常山北明_2025_ESG报告,s_patents,True,- 立项研发项目 113 项 - 新增授权发明专利5件，其中实用新型专利1件,"立项研发项目 113 项
- 新增授权发明专利5件，其中实用新型专利1件",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000158_常山北明_2025_ESG报告,g_independent_director_ratio,False,按类型 | 独立董事 | 名 | 4,按类型 | 独立董事 | 名 | 4,derived,normalized_or_inferred,ratio_from_disclosed_counts_or_fraction,证据明确给出2025年董事总数11名及独立董事4名，可计算占比。,"{""numeric_tokens"":[""4""],""evidence_quote"":""按类型 | 独立董事 | 名 | 4""}",deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000158_常山北明_2025_ESG报告,g_board_diversity,True,按性别 | 男性董事 | 名 | 9 | 8 | 8 女性董事 | 名 | 2 | 2 | 3,"按性别 | 男性董事 | 名 | 9 | 8 | 8 
女性董事 | 名 | 2 | 2 | 3",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000158_常山北明_2025_ESG报告,g_anti_corruption,True,治理维度下利益相关方沟通、反商业贿赂及反贪污、反不正当竞争等议题的核心指标覆盖率最高，均达100%。,治理维度下利益相关方沟通、反商业贿赂及反贪污、反不正当竞争等议题的核心指标覆盖率最高，均达100%,,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000403_派林生物_2025_ESG报告,e_air_pollutants,True,"废气排放类型 | 单位 | 2025年排放量 | 2024年排放量 氮氧化物NOx | 千克 | 5,191.27 | 3,038.25","废气排放类型 | 单位 | 2025年排放量 | 2024年排放量 
氮氧化物NOx | 千克 | 5,191.27 | 3,038.25",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000403_派林生物_2025_ESG报告,s_employee_total,False,"员工总数 | 2,755 | 2,635","员工总数 | 2,755 | 2,635",direct,normalized_or_inferred,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000503_国新健康_2025_ESG报告,e_climate_risk,True,"风险类型 | 气候风险因子 | 风险描述 | 风险应对 物理风险 | 急性物理风险 | 暴雨、暴雪、台风等极端天气现象将对公司设备的运行等产生消极影响,公司将面临资产损失或业务中断情况。 | ·密切关注灾害性天气,制定科学有效的灾害应急预案,加强应急预案和应急处理能力的建设;·定期对相关设备设施进行检查与维护,保障其抵御或降低自然灾害冲击的能力。","风险类型 | 气候风险因子 | 风险描述 | 风险应对 
物理风险 | 急性物理风险 | 暴雨、暴雪、台风等极端天气现象将对公司设备的运行等产生消极影响,公司将面临资产损失或业务中断情况。 | ·密切关注灾害性天气,制定科学有效的灾害应急预案,加强应急预案和应急处理能力的建设;·定期对相关设备设施进行检查与维护,保障其抵御或降低自然灾害冲击的能力",,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000503_国新健康_2025_ESG报告,e_water_total,True,"指标 | 单位 | 2024年 | 2025年 总耗水量 | 吨 | 2,400.71 | 2,403","指标 | 单位 | 2024年 | 2025年 
总耗水量 | 吨 | 2,400.71 | 2,403",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000503_国新健康_2025_ESG报告,g_independent_director_ratio,False,公司董事会由9名董事构成。其中，非独立董事6名，独立董事3名；女性董事3名，占比33%。,公司董事会由9名董事构成。其中，非独立董事6名，独立董事3名；女性董事3名，占比33%。,derived,direct,ratio_from_disclosed_counts_or_fraction,证据明确给出董事总数9人及独立董事3人，可计算占比。,"{""numeric_tokens"":[""9"",""6"",""3"",""3"",""33%""],""evidence_quote"":""公司董事会由9名董事构成。其中，非独立董事6名，独立董事3名；女性董事3名，占比33%。""}",deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000503_国新健康_2025_ESG报告,g_investor_relations,True,国新健康投资者关系管理遵循合规性原则、主动性原则、平等性原则和诚实守信原则，建立与投资者有效、多元的沟通渠道，与投资者之间形成良好沟通机制。,国新健康投资者关系管理遵循合规性原则、主动性原则、平等性原则和诚实守信原则，建立与投资者有效、多元的沟通渠道，与投资者之间形成良好沟通机制,,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000526_学大教育_2025_ESG报告,e_carbon_management,True,公司将结合业务发展实际，逐步探索并完善温室气体管理机制，稳步提升能源利用效率。在此基础上，持续推动技术创新与管理优化，适时推进减排举措落地。,公司将结合业务发展实际，逐步探索并完善温室气体管理机制，稳步提升能源利用效率。在此基础上，持续推动技术创新与管理优化，适时推进减排举措落地,,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000526_学大教育_2025_ESG报告,e_biodiversity,True,生物多样性2016 304-1 | 组织在位于或邻近保护区和保护区外的生物多样性丰富区域拥有、租赁、管理的运营点 | 不涉及 304-2 | 活动、产品和服务对生物多样性的重大影响 | 不涉及,"生物多样性2016 
304-1 | 组织在位于或邻近保护区和保护区外的生物多样性丰富区域拥有、租赁、管理的运营点 | 不涉及 
304-2 | 活动、产品和服务对生物多样性的重大影响 | 不涉及",,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000526_学大教育_2025_ESG报告,g_board_size,False,截至报告期末，公司董事会共由8名董事组成，其中独立董事3名、女性董事2名、职工代表董事1名。,截至报告期末，公司董事会共由8名董事组成，其中独立董事3名、女性董事2名、职工代表董事1名。,direct,normalized_or_inferred,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000526_学大教育_2025_ESG报告,g_board_diversity,True,女性董事数量 | 人 | 1 | 2 女性董事数量占比 | % | 14.29 | 25.00,"女性董事数量 | 人 | 1 | 2 
女性董事数量占比 | % | 14.29 | 25.00",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000526_学大教育_2025_ESG报告,g_esg_governance,True,公司建立了层次清晰、分工明确的ESG治理架构，明确决策层、管理层及执行层的各项职责，助力公司自上而下高效地推进可持续发展工作。,公司建立了层次清晰、分工明确的ESG治理架构，明确决策层、管理层及执行层的各项职责，助力公司自上而下高效地推进可持续发展工作,,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000537_绿发电力_2025_ESG报告,e_green_office,True,公司利用视频会议系统、电子会议系统等手段召开会议，优化内部流程和审批机制，推广使用在线审批，以减少纸质文档的传递和审批时间，并定期开展无纸化办公的培训课程。,公司利用视频会议系统、电子会议系统等手段召开会议，优化内部流程和审批机制，推广使用在线审批，以减少纸质文档的传递和审批时间，并定期开展无纸化办公的培训课程,,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000537_绿发电力_2025_ESG报告,g_investor_relations,True,系统构建专业化、常态化的投资者关系管理体系。通过及时、公平、充分的信息披露和多元高效的沟通渠道，切实保障全体股东特别是中小投资者的知情权和决策权。,"系统构建专业化、常态化的投资者关系管理体系。
通过及时、公平、充分的信息披露和多元高效的沟通渠道，切实保障全体股东特别是中小投资者的知情权和决策权",,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000537_绿发电力_2025_ESG报告,s_training,True,"员工平均培训时长 | 小时 | 89.31 | 81 员工培训参与人数 | 人次 | / | 7,571 员工培训覆盖率 | % | / | 100","员工平均培训时长 | 小时 | 89.31 | 81 
员工培训参与人数 | 人次 | / | 7,571 
员工培训覆盖率 | % | / | 100",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000547_航天发展_2025_ESG报告,e_air_pollutants,True,"废气排放总量 | 立方米 | 19,380.00 | 22,900.00 | 32,521.00 氮氧化物排放总量 | 毫克 | 9,615,000.00 | 8,179,000.00 | 11,619,200.00","废气排放总量 | 立方米 | 19,380.00 | 22,900.00 | 32,521.00 
氮氧化物排放总量 | 毫克 | 9,615,000.00 | 8,179,000.00 | 11,619,200.00",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000547_航天发展_2025_ESG报告,s_employee_rights,True,建立常态化的员工沟通机制，公司领导定期与一线员工面对面交流，听取意见建议。设立合理化建议平台，对采纳的建议给予表彰和奖励。,"建立常态化的员工沟通机制，公司领导定期与一线员工面对面交流，听取意见建议。
- 设立合理化建议平台，对采纳的建议给予表彰和奖励",,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000547_航天发展_2025_ESG报告,s_supplier,True,公司严格遵守供应商管理相关法律法规，结合自身业务需求制定了《采购管理办法》《供应商管理办法》《招投标管理办法》等制度文件，建立了明确的供应商管理组织架构。,公司严格遵守供应商管理相关法律法规，结合自身业务需求制定了《采购管理办法》《供应商管理办法》《招投标管理办法》等制度文件，建立了明确的供应商管理组织架构,,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000547_航天发展_2025_ESG报告,g_independent_director_ratio,False,董事会现由9名董事组成，其中独立董事3人，女性董事2人，独立董事占比达到三分之一,董事会现由9名董事组成，其中独立董事3人，女性董事2人，独立董事占比达到三分之一,derived,normalized_or_inferred,ratio_from_disclosed_counts_or_fraction,证据明确给出董事总数及独董人数，占比三分之一即33.33%。,"{""numeric_tokens"":[""9"",""3"",""2""],""evidence_quote"":""董事会现由9名董事组成，其中独立董事3人，女性董事2人，独立董事占比达到三分之一""}",deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000547_航天发展_2025_ESG报告,g_stakeholder_communication,True,- 面向外部利益相关方及公司内部发放 ESG 重要性议题调研问卷； - 多渠道收集各方对关键议题的关注重点与期望； - 结合访谈沟通与数据分析，评估议题对企业运营及利益相关方的影响程度。,"面向外部利益相关方及公司内部发放 ESG 重要性议题调研问卷；
- 多渠道收集各方对关键议题的关注重点与期望；
- 结合访谈沟通与数据分析，评估议题对企业运营及利益相关方的影响程度",,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000557_西部创业_2025_可持续发展报告,e_water_total,True,"一级指标 | 二级指标 | 三级指标 | 单位 | 2024年 | 2025年 资源利用 | 水资源利用 | 总用水量 | 吨 | 154,443.00 | 159,764.00","一级指标 | 二级指标 | 三级指标 | 单位 | 2024年 | 2025年 
资源利用 | 水资源利用 | 总用水量 | 吨 | 154,443.00 | 159,764.00",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000557_西部创业_2025_可持续发展报告,g_board_diversity,False,2025年，董事会由10名董事组成，其中独立董事4名，女性董事1名，专业覆盖铁路运输、财务、法律、投融资等领域。,2025年，董事会由10名董事组成，其中独立董事4名，女性董事1名，专业覆盖铁路运输、财务、法律、投融资等领域。,direct,normalized_or_inferred,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000557_西部创业_2025_可持续发展报告,g_shareholder_meetings,True,指标 | 数据 股东会召开次数 | 2次,"指标 | 数据 
股东会召开次数 | 2次",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000557_西部创业_2025_可持续发展报告,g_risk_management,True,"持续提升公司治理规范化水平,健全ESG治理架构;强化合规管理与全面风险防控,保障公司行稳致远、高质量可持续发展","持续提升公司治理规范化水平,健全ESG治理架构;·强化合规管理与全面风险防控,保障公司行稳致远、高质量可持续发展",,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000598_兴蓉环境_2025_ESG报告,e_energy_total,True,"议题:能源利用 综合能源消耗量 | 吨标准煤 | 241,696.26","议题:能源利用 
综合能源消耗量 | 吨标准煤 | 241,696.26",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000598_兴蓉环境_2025_ESG报告,e_fuel_consumption,True,"议题:能源利用 综合能源消耗量 | 吨标准煤 | 241,696.26","议题:能源利用 
综合能源消耗量 | 吨标准煤 | 241,696.26",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000598_兴蓉环境_2025_ESG报告,e_air_pollutants,True,废气排放 氮氧化物(NOx) | 吨 | 961.26 硫氧化物(SO2) | 吨 | 274.43 颗粒物(PM) | 吨 | 20.51,"废气排放 
氮氧化物(NOx) | 吨 | 961.26 
硫氧化物(SO2) | 吨 | 274.43 
颗粒物(PM) | 吨 | 20.51",direct,direct,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000598_兴蓉环境_2025_ESG报告,s_work_injury,False,报告期内，公司未发生工伤事故。,报告期内，公司未发生工伤事故。,derived,normalized_or_inferred,zero_event_normalization,证据明确披露未发生工伤事故，数值为0。,"{""numeric_tokens"":[],""evidence_quote"":""报告期内，公司未发生工伤事故。""}",deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
000598_兴蓉环境_2025_ESG报告,g_party_building,True,兴蓉环境党委紧扣新时代党的建设总要求，落实国有企业“两个一以贯之”原则，完善组织覆盖、队伍建设、制度保障、融合赋能的党组织标准化建设机制。,兴蓉环境党委紧扣新时代党的建设总要求，落实国有企业“两个一以贯之”原则，完善组织覆盖、队伍建设、制度保障、融合赋能的党组织标准化建设机制,,,,,,deterministic_canonical_hardening,2026-08-24T13:35:14.356040+00:00
