sample_order,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path
1,ng1-2c41b04563f5a4,natural-gold-v1,603272_ST联翔_2025_ESG暨社会责任报告,s_customer_satisfaction,客户满意度,S,quantitative,S/quantitative,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf
2,ng1-400ef6aad43f51,natural-gold-v1,920039_国义招标_2025_ESG报告,g_shareholder_meetings,股东大会次数,G,quantitative,G/quantitative,data/raw_pdfs/920039_国义招标_2025_ESG报告.pdf
3,ng1-c75f0f7c0456f3,natural-gold-v1,688509_正元地信_2025_ESG报告,s_community_investment,公益慈善投入,S,quantitative,S/quantitative,data/raw_pdfs/688509_正元地信_2025_ESG报告.pdf
4,ng1-63d107d3eba62c,natural-gold-v1,688051_佳华科技_2025_ESG报告,g_compliance_management,合规管理,G,boolean,G/boolean,data/raw_pdfs/688051_佳华科技_2025_ESG报告.pdf
5,ng1-7490334e1825a8,natural-gold-v1,300949_奥雅股份_2025_ESG报告,e_ghg_intensity,温室气体排放强度,E,quantitative,E/quantitative,data/raw_pdfs/300949_奥雅股份_2025_ESG报告.pdf
6,ng1-3bc09532caa273,natural-gold-v1,600261_阳光照明_2025_ESG报告,e_biodiversity,生物多样性保护,E,boolean,E/boolean,data/raw_pdfs/600261_阳光照明_2025_ESG报告.pdf
7,ng1-b3c8cbb3d6cafd,natural-gold-v1,688709_成都华微_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,G/boolean,data/raw_pdfs/688709_成都华微_2025_ESG报告.pdf
8,ng1-d3813612ea4750,natural-gold-v1,01950_帝王实业控股_2026_ESG报告,e_environmental_penalty,环境处罚,E,boolean,E/boolean,data/raw_pdfs/01950_帝王实业控股_2026_ESG报告.pdf
9,ng1-4b0e234b421be2,natural-gold-v1,000758_中色股份_2025_ESG暨社会责任报告,g_shareholder_meetings,股东大会次数,G,quantitative,G/quantitative,data/raw_pdfs/000758_中色股份_2025_ESG暨社会责任报告.pdf
10,ng1-dbda4f37ed6757,natural-gold-v1,000598_兴蓉环境_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,E/quantitative,data/raw_pdfs/000598_兴蓉环境_2025_ESG报告.pdf
11,ng1-d92f96f606b24d,natural-gold-v1,600009_上海机场_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/600009_上海机场_2025_ESG报告.pdf
12,ng1-f4e918e78aba9e,natural-gold-v1,002048_宁波华翔_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,S/boolean,data/raw_pdfs/002048_宁波华翔_2025_ESG报告.pdf
13,ng1-82be15b20e7fd8,natural-gold-v1,000923_河钢资源_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,E/quantitative,data/raw_pdfs/000923_河钢资源_2025_ESG报告.pdf
14,ng1-7220908acc0641,natural-gold-v1,000922_佳电股份_2026_ESG报告,s_community_investment,公益慈善投入,S,quantitative,S/quantitative,data/raw_pdfs/000922_佳电股份_2026_ESG报告.pdf
15,ng1-c20829dbfb95b0,natural-gold-v1,603291_联合水务_2025_ESG报告,e_ghg_intensity,温室气体排放强度,E,quantitative,E/quantitative,data/raw_pdfs/603291_联合水务_2025_ESG报告.pdf
16,ng1-d52639a424e51e,natural-gold-v1,600855_航天长峰_2025_ESG报告,g_esg_strategy,ESG 战略目标,G,qualitative,G/qualitative,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf
17,ng1-539163d1ad25b3,natural-gold-v1,600261_阳光照明_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/600261_阳光照明_2025_ESG报告.pdf
18,ng1-912007ce492914,natural-gold-v1,02402_亿华通_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,E/quantitative,data/raw_pdfs/02402_亿华通_2025_ESG报告.pdf
19,ng1-dce3c0382f0887,natural-gold-v1,601956_东贝集团_2025_ESG报告,g_tax_transparency,税务透明,G,qualitative,G/qualitative,data/raw_pdfs/601956_东贝集团_2025_ESG报告.pdf
20,ng1-c9665ae3880677,natural-gold-v1,600855_航天长峰_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,S/qualitative,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf
21,ng1-f859fa44ebb5d0,natural-gold-v1,600996_贵广网络_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/600996_贵广网络_2025_ESG报告.pdf
22,ng1-e66b2cfd619f59,natural-gold-v1,603333_尚纬股份_2025_ESG报告,s_rural_revitalization,乡村振兴,S,qualitative,S/qualitative,data/raw_pdfs/603333_尚纬股份_2025_ESG报告.pdf
23,ng1-cb76761769350e,natural-gold-v1,01216_中原银行_2025_ESG报告,s_work_injury,工伤事故,S,quantitative,S/quantitative,data/raw_pdfs/01216_中原银行_2025_ESG报告.pdf
24,ng1-a5602b3bb61764,natural-gold-v1,603333_尚纬股份_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,E/quantitative,data/raw_pdfs/603333_尚纬股份_2025_ESG报告.pdf
25,ng1-01071f36946b06,natural-gold-v1,688690_纳微科技_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/688690_纳微科技_2025_ESG报告.pdf
26,ng1-30ed0f9d35bc46,natural-gold-v1,002807_江阴银行_2025_ESG报告,g_risk_management,风险管理体系,G,boolean,G/boolean,data/raw_pdfs/002807_江阴银行_2025_ESG报告.pdf
27,ng1-525ee281892ced,natural-gold-v1,600874_创业环保_2025_可持续发展报告,g_business_ethics,商业道德,G,boolean,G/boolean,data/raw_pdfs/600874_创业环保_2025_可持续发展报告.pdf
28,ng1-e4a58880dce7e3,natural-gold-v1,002663_普邦股份_2025_ESG报告,e_fuel_consumption,燃料消耗量,E,quantitative,E/quantitative,data/raw_pdfs/002663_普邦股份_2025_ESG报告.pdf
29,ng1-94668dade62847,natural-gold-v1,02676_纳芯微_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,E/boolean,data/raw_pdfs/02676_纳芯微_2025_ESG报告.pdf
30,ng1-55eace7580b16c,natural-gold-v1,920299_灿能电力_2025_可持续发展报告,e_ghg_scope1,直接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/920299_灿能电力_2025_可持续发展报告.pdf
