source_index,report_id,indicator_id,original_status,original_value,original_unit,original_evidence_quote,original_page_no,original_block_id,final_status,final_value,final_unit,final_qualitative_text,final_evidence_quote,final_page_no,final_block_id,final_block_type,rationale,reviewer,reviewed_at
0,000016_深康佳Ａ_2025_ESG报告,s_training,error,"8,547",人,"员工培训人数 | 人 | 8,840 | 8,593 | 8,547 员工培训总时长 | 小时 | 37,800 | 15,638 | 87,170 员工培训覆盖率 | % | 62.67 | 64.33 | 70.91",44,000016_深康佳Ａ_2025_ESG报告:p44:b1,found,"8,547",人,,"员工培训人数 | 人 | 8,840 | 8,593 | 8,547",44,000016_深康佳Ａ_2025_ESG报告:p44:b1,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
1,000403_派林生物_2025_ESG报告,s_compensation_benefits,error,,,公司依据《职工福利管理制度》等内部规章，建立了兼顾公平性与竞争力的薪酬福利体系。在依法足额缴纳“五险一金”的基础上，为符合条件的员工建立企业年金计划，并提供节日、子女教育等多项津贴补贴。,33,000403_派林生物_2025_ESG报告:p33:b3,found,,,公司依据《职工福利管理制度》《专项奖励暂行管理制度》等内部规章，建立了兼顾公平性与竞争力的薪酬福利体系。在依法足额缴纳“五险一金”的基础上，为符合条件的员工建立企业年金计划，并提供节日、子女教育、赡养老人、教育培训、职称等多项津贴补贴。公司,公司依据《职工福利管理制度》《专项奖励暂行管理制度》等内部规章，建立了兼顾公平性与竞争力的薪酬福利体系。在依法足额缴纳“五险一金”的基础上，为符合条件的员工建立企业年金计划，并提供节日、子女教育、赡养老人、教育培训、职称等多项津贴补贴。公司每年定期组织员工健康体检，配发劳动保护用品，并在法定节假日之外设置产假、哺乳假、,33,000403_派林生物_2025_ESG报告:p33:b3,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
2,000403_派林生物_2025_ESG报告,s_supplier,error,true,,公司建立了覆盖供应商全生命周期的管理制度体系，制定了《采购及招标管理办法》《物料供应商管理规程》《供应商审计管理规程》等一系列规章制度，确保供应商管理有章可循、责任到人。,20,000403_派林生物_2025_ESG报告:p20:b1,found,true,,格的评估机制，推动供应链在环境、社会及商业道德方面的持续改善，共同打造绿色、透明、高效的供应链生态。公司建立了覆盖供应商全生命周期的管理制度体系，制定了《采购及招标管理办法》《物料供应商管理规程》《供应商审计管理规程》《风险管理规程》《生产,格的评估机制，推动供应链在环境、社会及商业道德方面的持续改善，共同打造绿色、透明、高效的供应链生态。公司建立了覆盖供应商全生命周期的管理制度体系，制定了《采购及招标管理办法》《物料供应商管理规程》《供应商审计管理规程》《风险管理规程》《生产物料采购管理规程》《合同管理制度》等一系列规章制度，确保供应商管理有章可循、责任,20,000403_派林生物_2025_ESG报告:p20:b1,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
3,000526_学大教育_2025_ESG报告,s_research_development,error,3543.10,万元人民币,"研发投入金额 | 单位 | 2024年 | 2025年 研发投入金额 | 万元人民币 | 3,495.12 | 3,543.10",44,000526_学大教育_2025_ESG报告:p44:b0,found,3543.10,万元人民币,,"研发投入金额 | 万元人民币 | 3,495.12 | 3,543.10",44,000526_学大教育_2025_ESG报告:p44:b0,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
4,000537_绿发电力_2025_ESG报告,s_supplier,error,true,,公司执行《供应商关系管理办法(试行)》等相关内部管理规范，将供应商管理纳入采购全生命周期管理活动中，形成供应商进入一退出的全面合规管理体系。,22,000537_绿发电力_2025_ESG报告:p22:b13,found,true,,公司执行《供应商关系管理办法(试行)》《供应商不良行为名单管理办法(试行)》《采购品类管理作业指引》《供应商库建设作业指引》《供应商履约评价作业指引》等相关内部管理规范，将供应商管理纳入采购全生命周期管理活动中，形成供应商进入一退出的全面合,公司执行《供应商关系管理办法(试行)》《供应商不良行为名单管理办法(试行)》《采购品类管理作业指引》《供应商库建设作业指引》《供应商履约评价作业指引》等相关内部管理规范，将供应商管理纳入采购全生命周期管理活动中，形成供应商进入一退出的全面合规管理体系，推动构建绿色和负责任供应链。,22,000537_绿发电力_2025_ESG报告:p22:b13,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
5,000557_西部创业_2025_可持续发展报告,s_human_rights,error,true,,我们严格遵守《妇女权益保障法》等法规，制定实施《员工管理办法》《劳动合同》《集体合同》，坚持公平就业，严禁任何形式的歧视、强迫劳动及使用童工。,38,000557_西部创业_2025_可持续发展报告:p38:b40,found,true,,平等不是口号，而是每一个岗位都向对的人敞开。平等，是每一个岗位都向对的人敞开。我们严格遵守《妇女权益保障法》《残疾人保障法》《未成年人保护法》等法规，制定实施《员工管理办法》《劳动合同》《集体合同》，坚持公平就业，严禁任何形式的歧视、强迫劳,平等不是口号，而是每一个岗位都向对的人敞开。平等，是每一个岗位都向对的人敞开。我们严格遵守《妇女权益保障法》《残疾人保障法》《未成年人保护法》等法规，制定实施《员工管理办法》《劳动合同》《集体合同》，坚持公平就业，严禁任何形式的歧视、强迫劳动及使用童工。,38,000557_西部创业_2025_可持续发展报告:p38:b40,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
6,000598_兴蓉环境_2025_ESG报告,e_renewable_energy,error,5078739.00,千瓦时,"议题:能源利用 光伏发电 | 千瓦时 | 5,078,739.00",35,000598_兴蓉环境_2025_ESG报告:p35:b14,found,5078739.00,千瓦时,,"光伏发电 | 千瓦时 | 5,078,739.00",35,000598_兴蓉环境_2025_ESG报告:p35:b14,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
7,000720_新能泰山_2025_ESG报告,g_board_diversity,error,0,人,女性董事数量 | 人 | 0 | 1 | 1 男性董事数量 | 人 | 10 | 9 | 9,34,000720_新能泰山_2025_ESG报告:p34:b2,found,0,人,,女性董事数量 | 人 | 0 | 1 | 1,34,000720_新能泰山_2025_ESG报告:p34:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
8,000720_新能泰山_2025_ESG报告,g_board_meetings,error,9,次,治理指标 | 董事会召开次数 | 次 | 9 | 12 | 9,34,000720_新能泰山_2025_ESG报告:p34:b2,found,9,次,,董事会召开次数 | 次 | 9 | 12 | 9,34,000720_新能泰山_2025_ESG报告:p34:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
9,000720_新能泰山_2025_ESG报告,g_shareholder_meetings,error,5,次,治理指标 | 股东会召开次数 | 次 | 5 | 6 | 3,34,000720_新能泰山_2025_ESG报告:p34:b2,found,5,次,,股东会召开次数 | 次 | 5 | 6 | 3,34,000720_新能泰山_2025_ESG报告:p34:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
10,000881_中广核技_2025_ESG报告,s_rural_revitalization,error,,,2025年乡村振兴亮点举措：产业帮扶，百色市农产品电子束保鲜帮扶项目首次实现盈亏平衡；消费帮扶，采购农副产品；人才振兴，开展培训；种业振兴，应用辐照技术助力产业升级。,40,000881_中广核技_2025_ESG报告:p40:b4,found,,,"产业帮扶 | ·2025年,百色市农产品电子束保鲜帮扶项目通过“加工+销售”双轮驱动,首次实现盈亏平衡。全年实现辐照产品销售110万元,帮扶产品销售840.6万元,合计940.6万元,同比增加53%。","产业帮扶 | ·2025年,百色市农产品电子束保鲜帮扶项目通过“加工+销售”双轮驱动,首次实现盈亏平衡。全年实现辐照产品销售110万元,帮扶产品销售840.6万元,合计940.6万元,同比增加53%。",40,000881_中广核技_2025_ESG报告:p40:b4,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
11,000881_中广核技_2025_ESG报告,g_board_diversity,error,2,名,董事会成员9名 其中女性董事2名 独立董事3名,43,000881_中广核技_2025_ESG报告:p43:b5,found,2,名,,其中女性董事2名,43,000881_中广核技_2025_ESG报告:p43:b5,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
12,000881_中广核技_2025_ESG报告,e_renewable_energy,error,1582.60,吨标准煤,"自产可再生能源用量 | 吨标准煤 | —— | 734.80 | 1,582.60",46,000881_中广核技_2025_ESG报告:p46:b17,found,1582.60,吨标准煤,,"自产可再生能源用量 $^{3}$ | 吨标准煤 | —— | 734.80 | 1,582.60",46,000881_中广核技_2025_ESG报告:p46:b17,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
13,000923_河钢资源_2025_ESG报告,e_air_pollutants,error,135.7,吨,2025年，颗粒物（PM）排放135.7吨，二氧化硫（SO2）排放0.7吨，氮氧化物（NOx）排放110.2吨。,26,000923_河钢资源_2025_ESG报告:p26:b19,found,135.7,吨,,"效率，实现清洁生产。同时，建设空气质量监测站和粉尘落差测量仪，对气象数据、二氧化硫、颗粒物进行实时监测，评估生产对环境和社区的影响，确保排放不超过规定限值。2025年，颗粒物（PM）排放135.7吨，二氧化硫（ 
\mathrm{SO}_2
）排放0.7吨，氮氧化物（ 
\mathrm{NO_X}
）排放110.2吨。",26,000923_河钢资源_2025_ESG报告:p26:b19,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
14,000998_隆平高科_2025_ESG报告,e_energy_total,error,"31,792.33",吨标准煤,"综合能源消耗总量 | 吨标准煤 | 31,792.33",89,000998_隆平高科_2025_ESG报告:p89:b2,found,"31,792.33",吨标准煤,,"综合能源消耗总量 $^{2}$ | 吨标准煤 | 31,792.33",89,000998_隆平高科_2025_ESG报告:p89:b2,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
15,000998_隆平高科_2025_ESG报告,s_rural_revitalization,error,,,2025年，子公司隆平信息与深圳开鸿数字产业发展有限公司设立隆平开鸿农业科技（北京）有限公司，其作为数字农业领域的唯一合作平台，聚焦“农业开源鸿蒙操作系统”研发与生态建设，以数字新质生产力助力乡村振兴，保障国家农业数据与系统安全。,52,000998_隆平高科_2025_ESG报告:p52:b1,found,,,产业发展有限公司（简称“深开鸿”）设立隆平开鸿农业科技（北京）有限公司（简称“隆平开鸿”），其作为数字农业领域的唯一合作平台，聚焦“农业开源鸿蒙操作系统”研发与生态建设，以数字新质生产力助力乡村振兴，保障国家农业数据与系统安全。后续公司将持,产业发展有限公司（简称“深开鸿”）设立隆平开鸿农业科技（北京）有限公司（简称“隆平开鸿”），其作为数字农业领域的唯一合作平台，聚焦“农业开源鸿蒙操作系统”研发与生态建设，以数字新质生产力助力乡村振兴，保障国家农业数据与系统安全。后续公司将持续探索以农业开源鸿蒙为统一数字底座，打造新型农业智能体，构建高效农业数字化解决方,52,000998_隆平高科_2025_ESG报告:p52:b1,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
16,001322_箭牌家居_2025_ESG报告,e_electricity_total,error,"15,830.35",万度,"全年传统电力消耗总量 | 单位 | 2025年 | 2024年 | 2023年 全年传统电力消耗总量 | 万度 | 15,830.35 | 18,809.11 | 17,532.96",36,001322_箭牌家居_2025_ESG报告:p36:b3,found,"15,830.35",万度,,"全年传统电力消耗总量 | 万度 | 15,830.35 | 18,809.11 | 17,532.96",36,001322_箭牌家居_2025_ESG报告:p36:b3,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
17,002011_盾安环境_2025_ESG报告,g_cybersecurity_governance,error,,,公司严格遵守《中华人民共和国网络安全法》等相关法律法规，建立《网络系统运行管理规定》等内部管理制度，强化技术防护与管理创新，全面提升信息安全保障能力。,32,002011_盾安环境_2025_ESG报告:p32:b17,found,,,公司严格遵守《中华人民共和国网络安全法》《中华人民共和国计算机信息系统安全保护条例》等相关法律法规，建立《网络系统运行管理规定》《网络信息安全管理规定》《微信等即时通讯工具管理办法》《机房管理办法》等内部管理制度，强化技术防护与管理创新，全,公司严格遵守《中华人民共和国网络安全法》《中华人民共和国计算机信息系统安全保护条例》等相关法律法规，建立《网络系统运行管理规定》《网络信息安全管理规定》《微信等即时通讯工具管理办法》《机房管理办法》等内部管理制度，强化技术防护与管理创新，全面提升信息安全保障能力。,32,002011_盾安环境_2025_ESG报告:p32:b17,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
18,002035_华帝股份_2025_ESG报告,s_employee_rights,error,,,回应与沟通：保障员工权益·提供安全的职场环境·完善员工考核和晋升机制·多渠道员工沟通·设立举报电话、信箱及邮箱,9,002035_华帝股份_2025_ESG报告:p9:b3,found,,,员工 | | ·多元化与平等机会·员工权益与福利·职业健康与安全·员工培训与发展 | ·保障员工权益·提供安全的职场环境·完善员工考核和晋升机制·多渠道员工沟通·员工社团与活动·设立举报电话、信箱及邮箱,员工 | | ·多元化与平等机会·员工权益与福利·职业健康与安全·员工培训与发展 | ·保障员工权益·提供安全的职场环境·完善员工考核和晋升机制·多渠道员工沟通·员工社团与活动·设立举报电话、信箱及邮箱,9,002035_华帝股份_2025_ESG报告:p9:b3,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
