indicator_id,indicator_name,dimension,indicator_type,original_indicator_type,keywords,common_units,is_core,source_decision,coverage_rate,usable_rate,dominant_error_type,selection_reason,original_keywords,keyword_revision_reason
e_ghg_total,温室气体排放总量,E,quantitative,quantitative,温室气体排放总量|碳排放总量|范围1和范围2|范围一和范围二,吨二氧化碳当量|tCO2e,True,keep,0.6000,1.0000,unit_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,温室气体排放总量|碳排放总量|范围1和范围2|范围一和范围二,未修改；formal_v1 辅助质检显示证据可用率较高。
e_ghg_intensity,温室气体排放强度,E,quantitative,quantitative,温室气体排放强度|碳排放强度|排放密度,吨二氧化碳当量/万元|tCO2e/百万元,True,keep,0.5400,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,温室气体排放强度|碳排放强度|排放密度,未修改；formal_v1 辅助质检显示证据可用率较高。
e_carbon_management,碳排放管理措施,E,boolean,qualitative,碳排放管理|碳管理|温室气体管理|碳盘查|碳排放管理机制|碳排放管理制度|节能降碳措施,,True,keep,0.5700,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,碳排放管理|碳管理|温室气体管理|碳盘查,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_climate_risk,气候风险管理,E,boolean,qualitative,气候风险|气候变化风险|气候相关风险|TCFD|气候风险管理机制|气候风险管理体系|气候风险应对措施,,True,keep,0.7500,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,气候风险|气候变化风险|气候相关风险|TCFD,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_energy_total,能源消耗总量,E,quantitative,quantitative,能源消耗总量|总能源消耗|综合能源消耗|能源使用量,兆瓦时|MWh|吨标准煤,True,keep,0.5500,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,能源消耗总量|总能源消耗|综合能源消耗|能源使用量,未修改；formal_v1 辅助质检显示证据可用率较高。
e_electricity_total,耗电量,E,quantitative,quantitative,耗电量|用电量|电力消耗|外购电力,千瓦时|kWh|兆瓦时,True,keep,0.7100,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,耗电量|用电量|电力消耗|外购电力,未修改；formal_v1 辅助质检显示证据可用率较高。
e_fuel_consumption,燃料消耗量,E,quantitative,quantitative,燃料消耗|汽油|柴油|燃油,吨|升,True,keep,0.8000,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,燃料消耗|汽油|柴油|燃油,未修改；formal_v1 辅助质检显示证据可用率较高。
e_water_total,总用水量,E,quantitative,quantitative,总用水量|用水量|取水量|耗水量,吨|立方米,True,keep,0.7700,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,总用水量|用水量|取水量|耗水量,未修改；formal_v1 辅助质检显示证据可用率较高。
e_cod,化学需氧量排放量,E,quantitative,quantitative,化学需氧量|COD|COD排放,吨|千克,True,keep,0.4300,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,化学需氧量|COD|COD排放,未修改；formal_v1 辅助质检显示证据可用率较高。
e_ammonia_nitrogen,氨氮排放量,E,quantitative,quantitative,氨氮|氨氮排放,吨|千克,True,keep,0.4100,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,氨氮|氨氮排放,未修改；formal_v1 辅助质检显示证据可用率较高。
e_waste_total,废弃物产生量,E,quantitative,quantitative,废弃物产生量|废弃物总量|固体废弃物|固废,吨|千克,True,keep,0.7000,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,废弃物产生量|废弃物总量|固体废弃物|固废,未修改；formal_v1 辅助质检显示证据可用率较高。
e_hazardous_waste,危险废弃物产生量,E,quantitative,quantitative,危险废弃物|危废|有害废弃物,吨|千克,True,keep,0.6900,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,危险废弃物|危废|有害废弃物,未修改；formal_v1 辅助质检显示证据可用率较高。
e_nonhazardous_waste,一般废弃物产生量,E,quantitative,quantitative,一般废弃物|无害废弃物|非危险废弃物,吨|千克,True,keep,0.4600,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,一般废弃物|无害废弃物|非危险废弃物,未修改；formal_v1 辅助质检显示证据可用率较高。
e_waste_recycling,废弃物回收利用量,E,quantitative,quantitative,废弃物回收|回收利用|资源化利用|回收率,吨|%,True,keep,0.7300,1.0000,unit_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,废弃物回收|回收利用|资源化利用|回收率,未修改；formal_v1 辅助质检显示证据可用率较高。
e_air_pollutants,大气污染物排放,E,quantitative,quantitative,大气污染物|废气排放|二氧化硫|氮氧化物|颗粒物,吨|千克,True,keep,0.7400,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,大气污染物|废气排放|二氧化硫|氮氧化物|颗粒物,未修改；formal_v1 辅助质检显示证据可用率较高。
e_nox,氮氧化物排放量,E,quantitative,quantitative,氮氧化物|NOx|NOX,吨|千克,True,keep,0.5900,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,氮氧化物|NOx|NOX,未修改；formal_v1 辅助质检显示证据可用率较高。
e_voc,挥发性有机物排放量,E,quantitative,quantitative,挥发性有机物|VOCs|VOC,吨|千克,True,keep,0.4000,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,挥发性有机物|VOCs|VOC,未修改；formal_v1 辅助质检显示证据可用率较高。
e_particulate,颗粒物排放量,E,quantitative,quantitative,颗粒物|烟尘|粉尘,吨|千克,True,keep,0.5700,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,颗粒物|烟尘|粉尘,未修改；formal_v1 辅助质检显示证据可用率较高。
e_environmental_penalty,环境处罚,E,boolean,qualitative,环境处罚|环保处罚|环境违法|环境违规|环境处罚记录|环保处罚记录|环境违法违规,,True,keep,0.2300,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,环境处罚|环保处罚|环境违法|环境违规,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_biodiversity,生物多样性保护,E,boolean,qualitative,生物多样性|生态保护|生态修复|自然保护|生物多样性保护措施|生态保护措施|生态修复措施,,True,keep,0.7600,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,生物多样性|生态保护|生态修复|自然保护,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
e_green_product,绿色产品与服务,E,qualitative,qualitative,绿色产品|绿色服务|绿色金融|绿色技术,,True,keep,0.6100,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,绿色产品|绿色服务|绿色金融|绿色技术,未修改；formal_v1 辅助质检显示证据可用率较高。
e_green_office,绿色办公,E,boolean,qualitative,绿色办公|无纸化办公|节能办公|低碳办公|绿色办公措施|无纸化办公措施|低碳办公措施,,True,keep,0.6000,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,绿色办公|无纸化办公|节能办公|低碳办公,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
s_employee_total,员工总数,S,quantitative,quantitative,员工总数|员工总人数|员工数量|雇员总数,人,True,keep,0.7500,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,员工总数|员工总人数|员工数量|雇员总数,未修改；formal_v1 辅助质检显示证据可用率较高。
s_employee_gender,女性员工人数或占比,S,quantitative,quantitative,女性员工|女员工|女性雇员|女性占比,人|%,True,keep,0.7100,1.0000,unit_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,女性员工|女员工|女性雇员|女性占比,未修改；formal_v1 辅助质检显示证据可用率较高。
s_compensation_benefits,薪酬福利,S,qualitative,qualitative,薪酬福利|员工福利|福利体系|薪酬体系,,True,keep,0.9500,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,薪酬福利|员工福利|福利体系|薪酬体系,未修改；formal_v1 辅助质检显示证据可用率较高。
s_employee_rights,员工权益保障,S,qualitative,qualitative,员工权益|劳动权益|民主管理|员工沟通,,True,keep,0.9200,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,员工权益|劳动权益|民主管理|员工沟通,未修改；formal_v1 辅助质检显示证据可用率较高。
s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,qualitative,多元化|平等机会|反歧视|包容性,,True,keep,0.9800,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,多元化|平等机会|反歧视|包容性,未修改；formal_v1 辅助质检显示证据可用率较高。
s_occupational_health,职业健康,S,qualitative,qualitative,职业健康|职业病防治|职业卫生|健康管理,,True,keep,0.9600,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,职业健康|职业病防治|职业卫生|健康管理,未修改；formal_v1 辅助质检显示证据可用率较高。
s_safety,安全生产,S,qualitative,qualitative,安全生产|职业健康|安全投入|安全标准化,,True,keep,0.8700,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,安全生产|职业健康|安全投入|安全标准化,未修改；formal_v1 辅助质检显示证据可用率较高。
s_work_injury,工伤事故,S,quantitative,quantitative,工伤|因工伤亡|工伤事故|损失工时,起|人|小时,True,keep,0.6900,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,工伤|因工伤亡|工伤事故|损失工时,未修改；formal_v1 辅助质检显示证据可用率较高。
s_product_quality,产品质量管理,S,qualitative,qualitative,产品质量|质量管理|质量控制|质量体系,,True,keep,0.8100,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,产品质量|质量管理|质量控制|质量体系,未修改；formal_v1 辅助质检显示证据可用率较高。
s_customer_satisfaction,客户满意度,S,quantitative,quantitative,客户满意度|顾客满意度|满意度调查,%|分,True,keep,0.7400,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,客户满意度|顾客满意度|满意度调查,未修改；formal_v1 辅助质检显示证据可用率较高。
s_customer_complaints,客户投诉,S,quantitative,quantitative,客户投诉|投诉处理|投诉数量|投诉率,件|%,True,keep,0.6700,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,客户投诉|投诉处理|投诉数量|投诉率,未修改；formal_v1 辅助质检显示证据可用率较高。
s_data_security,数据安全与隐私保护,S,boolean,qualitative,数据安全|隐私保护|信息安全|客户隐私|数据安全管理制度|隐私保护机制|信息安全管理体系,,True,keep,0.8900,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,数据安全|隐私保护|信息安全|客户隐私,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
s_research_development,研发投入,S,quantitative,quantitative,研发投入|研发费用|研发支出|研发经费,万元|元|%,True,keep,0.7100,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,研发投入|研发费用|研发支出|研发经费,未修改；formal_v1 辅助质检显示证据可用率较高。
s_patents,专利数量,S,quantitative,quantitative,专利|发明专利|授权专利|知识产权,项|件,True,keep,0.8800,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,专利|发明专利|授权专利|知识产权,未修改；formal_v1 辅助质检显示证据可用率较高。
s_supplier,供应商管理,S,boolean,qualitative,供应商管理|供应链管理|供应商审核|责任供应链|供应商管理制度|供应商审核机制|责任供应链管理,,True,keep,0.8100,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,供应商管理|供应链管理|供应商审核|责任供应链,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
s_community_investment,公益慈善投入,S,quantitative,quantitative,公益投入|慈善捐赠|社会公益|社区投资,万元|元,True,keep,0.7400,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,公益投入|慈善捐赠|社会公益|社区投资,未修改；formal_v1 辅助质检显示证据可用率较高。
s_volunteer_hours,志愿服务时长,S,quantitative,quantitative,志愿服务|志愿者活动|志愿服务时长,小时|人次,True,keep,0.5800,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,志愿服务|志愿者活动|志愿服务时长,未修改；formal_v1 辅助质检显示证据可用率较高。
s_rural_revitalization,乡村振兴,S,qualitative,qualitative,乡村振兴|扶贫|助农|共同富裕,,True,keep,0.8100,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,乡村振兴|扶贫|助农|共同富裕,未修改；formal_v1 辅助质检显示证据可用率较高。
s_human_rights,人权与劳工准则,S,boolean,qualitative,人权|童工|强迫劳动|劳工准则|人权保护政策|禁止童工|禁止强迫劳动,,True,keep,0.8800,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,人权|童工|强迫劳动|劳工准则,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_board_size,董事会人数,G,quantitative,quantitative,董事会人数|董事人数|董事会成员,人,True,keep,0.6500,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,董事会人数|董事人数|董事会成员,未修改；formal_v1 辅助质检显示证据可用率较高。
g_independent_director_ratio,独立董事占比,G,quantitative,quantitative,独立董事占比|独立董事|独董比例,%|人,True,keep,0.7700,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,独立董事占比|独立董事|独董比例,未修改；formal_v1 辅助质检显示证据可用率较高。
g_board_diversity,董事会多元化,G,quantitative,quantitative,女性董事|董事会多元化|董事会成员|独立董事占比,%|人,True,keep,0.7900,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,女性董事|董事会多元化|董事会成员|独立董事占比,未修改；formal_v1 辅助质检显示证据可用率较高。
g_board_meetings,董事会会议次数,G,quantitative,quantitative,董事会会议|召开董事会|董事会召开,次,True,keep,0.6900,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,董事会会议|召开董事会|董事会召开,未修改；formal_v1 辅助质检显示证据可用率较高。
g_shareholder_meetings,股东大会次数,G,quantitative,quantitative,股东大会|股东会|召开股东大会,次,True,keep,0.8400,1.0000,value_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,股东大会|股东会|召开股东大会,未修改；formal_v1 辅助质检显示证据可用率较高。
g_esg_governance,ESG 治理架构,G,boolean,qualitative,ESG治理|可持续发展治理|ESG委员会|ESG工作小组|ESG治理架构|ESG治理机制|可持续发展治理架构,,True,keep,0.8100,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,ESG治理|可持续发展治理|ESG委员会|ESG工作小组,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_esg_strategy,ESG 战略目标,G,qualitative,qualitative,ESG战略|可持续发展战略|ESG目标|可持续发展目标,,True,keep,0.7400,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,ESG战略|可持续发展战略|ESG目标|可持续发展目标,未修改；formal_v1 辅助质检显示证据可用率较高。
g_stakeholder_communication,利益相关方沟通,G,qualitative,qualitative,利益相关方|相关方沟通|实质性议题|重要性议题,,True,keep,0.8500,1.0000,none,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,利益相关方|相关方沟通|实质性议题|重要性议题,未修改；formal_v1 辅助质检显示证据可用率较高。
g_anti_corruption,反腐败机制,G,boolean,qualitative,反腐败|反腐|廉洁|反商业贿赂|商业道德|反腐败机制|反商业贿赂制度|廉洁从业制度,,True,keep,0.9600,1.0000,none,formal_v1 建议 keep；该指标更适合判定机制/制度是否披露，formal_v2 转为 boolean。,反腐败|反腐|廉洁|反商业贿赂|商业道德,boolean 指标增加与原指标绑定的机制、制度、措施类限定词，避免使用泛词。
g_anti_corruption_training,反腐败培训,G,quantitative,quantitative,反腐败培训|廉洁培训|商业道德培训|合规培训,次|人次|小时,True,keep,0.5900,1.0000,unit_missing,formal_v1 建议 keep，证据可用率满足 formal_v2 要求。,反腐败培训|廉洁培训|商业道德培训|合规培训,未修改；formal_v1 辅助质检显示证据可用率较高。
