pilot_order,pilot_id,task_id,dataset_version,report_id,indicator_id,indicator_name,dimension,indicator_type,stratum,pdf_path
1,pilot30-01,ng1-a214898ca3c816,natural-gold-v1,688515_裕太微_2025_ESG报告,e_particulate,颗粒物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688515_裕太微_2025_ESG报告.pdf
2,pilot30-02,ng1-0d067fbf454485,natural-gold-v1,300261_雅本化学_2025_ESG报告,g_stakeholder_communication,利益相关方沟通,G,qualitative,G/qualitative,data/raw_pdfs/300261_雅本化学_2025_ESG报告.pdf
3,pilot30-03,ng1-113ea44efa7c1a,natural-gold-v1,000628_高新发展_2025_ESG报告,s_human_rights,人权与劳工准则,S,boolean,S/boolean,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf
4,pilot30-04,ng1-f849f317c85af4,natural-gold-v1,603979_金诚信_2025_ESG报告,g_information_disclosure,信息披露,G,qualitative,G/qualitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf
5,pilot30-05,ng1-151e34d6ad8d6e,natural-gold-v1,603329_上海雅仕_2025_ESG报告,g_esg_governance,ESG 治理架构,G,boolean,G/boolean,data/raw_pdfs/603329_上海雅仕_2025_ESG报告.pdf
6,pilot30-06,ng1-a88559976da281,natural-gold-v1,300459_汤姆猫_2025_ESG报告,s_compensation_benefits,薪酬福利,S,qualitative,S/qualitative,data/raw_pdfs/300459_汤姆猫_2025_ESG报告.pdf
7,pilot30-07,ng1-ae0b1b3f4c2d52,natural-gold-v1,600846_同济科技_2025_ESG报告,s_employee_total,员工总数,S,quantitative,S/quantitative,data/raw_pdfs/600846_同济科技_2025_ESG报告.pdf
8,pilot30-08,ng1-4e81ed14c025a5,natural-gold-v1,301522_上大股份_2025_ESG报告,s_volunteer_hours,志愿服务时长,S,quantitative,S/quantitative,data/raw_pdfs/301522_上大股份_2025_ESG报告.pdf
9,pilot30-09,ng1-05b524600dcbd6,natural-gold-v1,601106_中国一重_2025_ESG报告,s_employee_gender,女性员工人数或占比,S,quantitative,S/quantitative,data/raw_pdfs/601106_中国一重_2025_ESG报告.pdf
10,pilot30-10,ng1-99c4e48ea2133a,natural-gold-v1,000922_佳电股份_2026_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,E/quantitative,data/raw_pdfs/000922_佳电股份_2026_ESG报告.pdf
11,pilot30-11,ng1-e66f684c582642,natural-gold-v1,603051_鹿山新材_2025_ESG报告,e_ghg_scope2,间接温室气体排放量,E,quantitative,E/quantitative,data/raw_pdfs/603051_鹿山新材_2025_ESG报告.pdf
12,pilot30-12,ng1-594f5b57e98e5e,natural-gold-v1,000628_高新发展_2025_ESG报告,s_community_investment,公益慈善投入,S,quantitative,S/quantitative,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf
13,pilot30-13,ng1-a5602b3bb61764,natural-gold-v1,603333_尚纬股份_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,E/quantitative,data/raw_pdfs/603333_尚纬股份_2025_ESG报告.pdf
14,pilot30-14,ng1-b3c8cbb3d6cafd,natural-gold-v1,688709_成都华微_2025_ESG报告,g_audit_committee,审计委员会,G,boolean,G/boolean,data/raw_pdfs/688709_成都华微_2025_ESG报告.pdf
15,pilot30-15,ng1-17396b9dc6242f,natural-gold-v1,603272_ST联翔_2025_ESG暨社会责任报告,s_diversity_equal_opportunity,多元化与平等机会,S,qualitative,S/qualitative,data/raw_pdfs/603272_ST联翔_2025_ESG暨社会责任报告.pdf
16,pilot30-16,ng1-d1855f6973de79,natural-gold-v1,000810_创维数字_2025_ESG报告,g_materiality_assessment,实质性议题评估,G,qualitative,G/qualitative,data/raw_pdfs/000810_创维数字_2025_ESG报告.pdf
17,pilot30-17,ng1-4b0e234b421be2,natural-gold-v1,000758_中色股份_2025_ESG暨社会责任报告,g_shareholder_meetings,股东大会次数,G,quantitative,G/quantitative,data/raw_pdfs/000758_中色股份_2025_ESG暨社会责任报告.pdf
18,pilot30-18,ng1-9acb8fff719884,natural-gold-v1,002849_威星智能_2025_ESG报告,e_green_product,绿色产品与服务,E,qualitative,E/qualitative,data/raw_pdfs/002849_威星智能_2025_ESG报告.pdf
19,pilot30-19,ng1-8d61e6526d3d5b,natural-gold-v1,06198_青岛港_2025_ESG报告,e_green_office,绿色办公,E,boolean,E/boolean,data/raw_pdfs/06198_青岛港_2025_ESG报告.pdf
20,pilot30-20,ng1-c79f57a9656b02,natural-gold-v1,688560_明冠新材_2025_ESG报告,s_training,员工培训,S,quantitative,S/quantitative,data/raw_pdfs/688560_明冠新材_2025_ESG报告.pdf
21,pilot30-21,ng1-0810de675e781f,natural-gold-v1,688279_峰岹科技_2025_ESG报告,e_voc,挥发性有机物排放量,E,quantitative,E/quantitative,data/raw_pdfs/688279_峰岹科技_2025_ESG报告.pdf
22,pilot30-22,ng1-61f2a376eb5c2b,natural-gold-v1,002627_三峡旅游_2025_ESG报告,g_board_meetings,董事会会议次数,G,quantitative,G/quantitative,data/raw_pdfs/002627_三峡旅游_2025_ESG报告.pdf
23,pilot30-23,ng1-1937986d202d7f,natural-gold-v1,600396_华电辽能_2025_ESG报告,g_business_ethics,商业道德,G,boolean,G/boolean,data/raw_pdfs/600396_华电辽能_2025_ESG报告.pdf
24,pilot30-24,ng1-01ca3148eeb978,natural-gold-v1,688439_振华风光_2025_ESG报告,g_board_size,董事会人数,G,quantitative,G/quantitative,data/raw_pdfs/688439_振华风光_2025_ESG报告.pdf
25,pilot30-25,ng1-5500c17f76d665,natural-gold-v1,600331_宏达股份_2025_ESG报告,s_supplier,供应商管理,S,boolean,S/boolean,data/raw_pdfs/600331_宏达股份_2025_ESG报告.pdf
26,pilot30-26,ng1-10d1e1ebf35880,natural-gold-v1,920019_铜冠矿建_2025_ESG报告,e_waste_total,废弃物产生量,E,quantitative,E/quantitative,data/raw_pdfs/920019_铜冠矿建_2025_ESG报告.pdf
27,pilot30-27,ng1-af0ae7ee0e2686,natural-gold-v1,000923_河钢资源_2025_ESG报告,s_occupational_health,职业健康,S,qualitative,S/qualitative,data/raw_pdfs/000923_河钢资源_2025_ESG报告.pdf
28,pilot30-28,ng1-ffa46db437528a,natural-gold-v1,688690_纳微科技_2025_ESG报告,g_cybersecurity_governance,网络安全治理,G,qualitative,G/qualitative,data/raw_pdfs/688690_纳微科技_2025_ESG报告.pdf
29,pilot30-29,ng1-16d4e347f19ab6,natural-gold-v1,603979_金诚信_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,E/quantitative,data/raw_pdfs/603979_金诚信_2025_ESG报告.pdf
30,pilot30-30,ng1-a50c012a1e9f6a,natural-gold-v1,600855_航天长峰_2025_ESG报告,e_renewable_energy,可再生能源使用量,E,quantitative,E/quantitative,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf
